regon;nazwa;pkd_glowne;pkdn7
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4711Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4721Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4722Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4723Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4724Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4725Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;9002Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4726Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4729Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4775Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;4932Z
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;5610A
36085929000000;FIRMA HANDLOWO USŁUGOWA BUBUK JAKUB WYSZYŃSKI        ;4711Z;9001Z
36085963400000;SAL Lioara Szkudlarek                                ;4782Z;4719Z
36085963400000;SAL Lioara Szkudlarek                                ;4782Z;4771Z
36085963400000;SAL Lioara Szkudlarek                                ;4782Z;4782Z
36085963400000;SAL Lioara Szkudlarek                                ;4782Z;4791Z
36085963400000;SAL Lioara Szkudlarek                                ;4782Z;5320Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;3320Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4799Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4941Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4399Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4531Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4532Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4642Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4719Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4791Z
36085969200000;AMS POLSKA AGNIESZKA WASYNA                          ;4719Z;4331Z
