regon;nazwa;pkd_glowne;pkdn7
36088581500000;ADAM SŁUPIK A.S.-MOTO                                ;4540Z;4511Z
36088581500000;ADAM SŁUPIK A.S.-MOTO                                ;4540Z;4519Z
36088581500000;ADAM SŁUPIK A.S.-MOTO                                ;4540Z;4540Z
36088581500000;ADAM SŁUPIK A.S.-MOTO                                ;4540Z;4782Z
38383540000000;Janusz Bąk                                           ;4781Z;4332Z
38383540000000;Janusz Bąk                                           ;4781Z;4333Z
38383540000000;Janusz Bąk                                           ;4781Z;4334Z
38383540000000;Janusz Bąk                                           ;4781Z;4339Z
38387144200000;Janusz Bąk                                           ;4781Z;4211Z
38387144200000;Janusz Bąk                                           ;4781Z;4331Z
38387144200000;Janusz Bąk                                           ;4781Z;4332Z
38387144200000;Janusz Bąk                                           ;4781Z;4333Z
38387144200000;Janusz Bąk                                           ;4781Z;4334Z
38387144200000;Janusz Bąk                                           ;4781Z;4339Z
7051860400000;Janusz Bąk                                           ;4781Z;4781Z
38215977600000;Janusz Bąk                                           ;4781Z;4941Z
36088653600000;Janusz Bąk                                           ;4781Z;4721Z
36088653600000;Janusz Bąk                                           ;4781Z;4781Z
36088653600000;Janusz Bąk                                           ;4781Z;4789Z
2020763600000;Janusz Bąk                                           ;4781Z;4789Z
2020763600000;Janusz Bąk                                           ;4781Z;4941Z
41123162600000;Janusz Bąk                                           ;4781Z;4391Z
41123162600000;Janusz Bąk                                           ;4781Z;4399Z
41123162600000;Janusz Bąk                                           ;4781Z;4635Z
41123162600000;Janusz Bąk                                           ;4781Z;4641Z
41123162600000;Janusz Bąk                                           ;4781Z;4642Z
41123162600000;Janusz Bąk                                           ;4781Z;4322Z
41123162600000;Janusz Bąk                                           ;4781Z;4329Z
41123162600000;Janusz Bąk                                           ;4781Z;4331Z
41123162600000;Janusz Bąk                                           ;4781Z;4332Z
41123162600000;Janusz Bąk                                           ;4781Z;4333Z
41123162600000;Janusz Bąk                                           ;4781Z;4334Z
41123162600000;Janusz Bąk                                           ;4781Z;9511Z
41123162600000;Janusz Bąk                                           ;4781Z;4110Z
41123162600000;Janusz Bąk                                           ;4781Z;4120Z
41123162600000;Janusz Bąk                                           ;4781Z;4222Z
41123162600000;Janusz Bąk                                           ;4781Z;4311Z
41123162600000;Janusz Bąk                                           ;4781Z;4312Z
41123162600000;Janusz Bąk                                           ;4781Z;4321Z
