symbol;nazwa
112010;Zastępca dyrektora do spraw dystrybucji
112010;Zastępca dyrektora do spraw marketingu
112011;DYREKTOR OPERACYJNY
112011;Zastępca dyrektora operacyjnego
112012;DYREKTOR PRODUKCJI
112012;Główny inżynier zastępca dyrektora
112012;Naczelny inżynier zastępca dyrektora
112013;DYREKTOR ROZWOJU BIZNESU
112013;Zastępca dyrektora rozwoju biznesu
112014;DYREKTOR SPRZEDAŻY
112014;Zastępca dyrektora sprzedaży
112015;DYREKTOR TECHNICZNY
112015;Zastępca dyrektora technicznego
112016;DYREKTOR WYKONAWCZY
112016;Zastępca dyrektora wykonawczego
112017;Ceo-chief executive officer
112017;President of the board
112017;PREZES
112017;Wiceprezes
112017;Wiceprezydent korporacji
112018;Prorektor
112018;REKTOR
112019;SYNDYK
112020;DYREKTOR DO SPRAW WDROŻEŃ I ROZWOJU TECHNOLOGII
112020;Zastępca dyrektora do spraw wdrożeń i rozwoju technologii
112090;POZOSTALI DYREKTORZY GENERALNI I ZARZĄDZAJĄCY
112090;Zastępcy pozostałych dyrektorów generalnych i zarządzających
121101;Chief accountant
121101;GŁÓWNY KSIĘGOWY
121102;KIEROWNIK BIURA RACHUNKOWEGO
121102;Zastępca kierownika biura rachunkowego
121103;KIEROWNIK DZIAŁU FINANSOWEGO
121103;Zastępca kierownika działu finansowego
121190;POZOSTALI KIEROWNICY DO SPRAW FINANSOWYCH
121190;Zastępcy pozostałych kierowników do spraw finansowych
121201;KIEROWNIK DZIAŁU KADR I PŁAC
121201;Zastępca kierownika działu kadr i płac
121202;KIEROWNIK DZIAŁU SZKOLEŃ
121202;Zastępca kierownika działu szkoleń
121203;KIEROWNIK DZIAŁU ZARZĄDZANIA ZASOBAMI LUDZKIMI
121203;Zastępca kierownika działu zarządzania zasobami ludzkimi
121204;KIEROWNIK PRZEDSIĘBIORSTWA ŚWIADCZĄCEGO USŁUGI Z ZAKRESU ZARZĄDZANIA ZASOBAMI LUDZKIMI
121204;Zastępca kierownika przedsiębiorstwa świadczącego usługi z zakresu zarządzania zasobami ludzkimi
121290;POZOSTALI KIEROWNICY DO SPRAW ZARZĄDZANIA ZASOBAMI LUDZKIMI
121290;Zastępcy pozostałych kieorwników do spraw zarządzania zasobami ludzkimi
121301;DYREKTOR DEPARTAMENTU
121301;Zastępca dyrektora departamentu
121302;KIEROWNIK DO SPRAW STRATEGII I PLANOWANIA
121302;Zastępca kierownika do spraw strategii i planowania
121303;NACZELNIK  /  KIEROWNIK WYDZIAŁU
121303;Zastępca naczelnika  /  kierownika wydziału
121390;POZOSTALI KIEROWNICY DO SPRAW STRATEGII I PLANOWANIA
121901;KIEROWNIK DZIAŁU ADMINISTRACYJNO-GOSPODARCZEGO
121901;Zastępca kierownika działu administracyjno-gospodarczego
121902;KIEROWNIK PRZEDSIĘBIORSTWA ŚWIADCZĄCEGO USŁUGI Z ZAKRESU OBSŁUGI BIZNESU
121902;Zastępca kierownika przedsiębiorstwa świadczącego usługi z zakresu obsługi biznesu
121903;KIEROWNIK PRZEDSIĘBIORSTWA ŚWIADCZĄCEGO USŁUGI OSOBISTE I PORZĄDKOWE
121903;Zastępca kierownika przedsiębiorstwa świadczącego usługi osobiste i porządkowe
121904;Dyrektor projektu
121904;KIEROWNIK PROJEKTU
121904;Project manager
121990;POZOSTALI KIEROWNICY DO SPRAW OBSŁUGI BIZNESU I ZARZĄDZANIA GDZIE INDZIEJ NIESKLASYFIKOWANI
121990;Zastępcy pozostałych kierowników do spraw obsługi biznesu i zarządzania
122101;KIEROWNIK DO SPRAW MARKETINGU
122101;Kierownik działu marketingu
122101;Zastępca kierownika do spraw marketingu
122101;Zastępca kierownika działu marketingu
122102;KIEROWNIK DO SPRAW SPRZEDAŻY
122102;Kierownik działu sprzedaży
122102;Zastępca kierownika do spraw sprzedaży
122102;Zastępca kierownika działu sprzedaży
122103;KIEROWNIK PRZEDSIĘBIORSTWA ŚWIADCZĄCEGO USŁUGI Z ZAKRESU MARKETINGU I SPRZEDAŻY
122103;Zastępca kierownika przedsiębiorstwa świadczącego usługi z zakresu marketingu i sprzedaży
122104;KIEROWNIK DO SPRAW MARKETINGU INTERNETOWEGO
122104;Zastępca kierownika do spraw marketingu internetowego
122105;KIEROWNIK DO SPRAW MARKETINGU SIECIOWEGO (WIELOPOZIOMOWEGO)
122105;Zastępca kierownika do spraw marketingu sieciowego (wielopoziomowego)
122106;REGIONALNY KIEROWNIK SPRZEDAŻY
122106;Zastępca regionalnego kierownika sprzedaży
122107;KIEROWNIK DOMU AUKCYJNEGO
122190;POZOSTALI KIEROWNICY DO SPRAW MARKETINGU I SPRZEDAŻY
122190;Zastępcy pozostałych kierowników do spraw marketingu i sprzedaży
122201;KIEROWNIK AGENCJI REKLAMOWEJ
122201;Zastępca kierownika agencji reklamowej
122202;KIEROWNIK DZIAŁU REKLAMY / PROMOCJI / PUBLIC RELATIONS
122202;Zastępca kierownika działu reklamy  /  promocji  /  public relations
122290;POZOSTALI KIEROWNICY DO SPRAW REKLAMY I PUBLIC RELATIONS
122290;Zastępcy pozostałych kierowników do spraw reklamy i public relations
122301;KIEROWNIK DO SPRAW ROZWOJU PRODUKTU
122301;Zastępca kierownika do spraw rozwoju produktu
122302;KIEROWNIK DZIAŁU BADAWCZO-ROZWOJOWEGO
122302;Zastępca kierownika działu badawczo-rozwojowego
122390;POZOSTALI KIEROWNICY DO SPRAW BADAŃ I ROZWOJU
122390;Zastępcy pozostałych kierowników do spraw badań i rozwoju
131101;KIEROWNIK PRODUKCJI W PRZEDSIĘBIORSTWIE ROLNYM
131101;Zastępca kierownika produkcji w przedsiębiorstwie rolnym
131102;KIEROWNIK PRZEDSIĘBIORSTWA USŁUGOWEGO ZWIĄZANEGO Z LEŚNICTWEM
131102;Zastępca kierownika przedsiębiorstwa usługowego związanego z leśnictwem
131103;KIEROWNIK W GOSPODARCE LEŚNEJ
131103;Nadleśniczy
131103;Zastępca kierownika w gospodarce leśnej
131104;KIEROWNIK PRODUKCJI W PRZEDSIĘBIORSTWIE OGRODNICZYM
131104;Zastępca kierownika produkcji w przedsiębiorstwie ogrodniczym
131105;KIEROWNIK PRODUKCJI W PRZEDSIĘBIORSTWIE HODOWLANYM
131105;Zastępca kierownika produkcji w przedsiębiorstwie hodowlanym
131190;POZOSTALI KIEROWNICY PRODUKCJI W ROLNICTWIE I LEŚNICTWIE
131190;Zastępcy pozostałych kierowników produkcji w rolnictwie i leśnictwie
131201;Kierownik produkcji w przedsiębiorstwie upraw wodnych
131201;KIEROWNIK PRODUKCJI W ZAKŁADACH AKWAKULTURY
131201;Zastępca kierownika produkcji w zakładach akwakultury
131201;Zastępca kierownika w przedsiębiorstwie upraw  wodnych
131202;KIEROWNIK PRZEDSIĘBIORSTWA W RYBOŁÓWSTWIE
131202;Zastępca kierownika przedsiębiorstwa w rybołówstwie
131290;POZOSTALI KIEROWNICY PRODUKCJI W ZAKŁADACH AKWAKULTURY I RYBOŁÓWSTWIE
132102;KIEROWNIK DO SPRAW KONTROLI JAKOŚCI
132102;Zastępca kierownika do spraw kontroli jakości
132103;Kierownik działu produkcji
132103;KIEROWNIK PRODUKCJI W PRZEMYŚLE
132103;Zastępca kierownika działu produkcji
132103;Zastępca kierownika produkcji w przemyśle
132104;KIEROWNIK MAŁEGO PRZEDSIĘBIORSTWA W PRZEMYŚLE PRZETWÓRCZYM
132104;Zastępca kierownika małego przedsiębiorstwa w przemyśle przetwórczym
132105;KIEROWNIK UTRZYMANIA RUCHU
132105;Zastępca kierownika utrzymania ruchu
132190;POZOSTALI KIEROWNICY DO SPRAW PRODUKCJI PRZEMYSŁOWEJ
132201;KIEROWNIK DZIAŁU RUCHU ZAKŁADU GÓRNICZEGO LUB ZAKŁADU
132201;Kierownik działu wydobycia
132201;Zastępca kierownika działu ruchu zakładu górniczego lub zakładu
132201;Zastępca kierownika działu wydobycia
132202;KIEROWNIK JEDNOSTKI RATOWNICTWA GÓRNICZEGO
132202;Zastępca kierownika jednostki ratownictwa górniczego
132204;KIEROWNIK RUCHU ZAKŁADU GÓRNICZEGO LUB ZAKŁADU
132290;Kierownik małego przedsiębiorstwa w przemyśle wydobywczym
132290;POZOSTALI KIEROWNICY W GÓRNICTWIE
132290;Zastępca kierownika małego przedsiębiorstwa w przemyśle wydobywczym
132301;KIEROWNIK BUDOWY
132301;Koordynator budowy
132301;Zastępca kierownika budowy
132302;KIEROWNIK MAŁEGO PRZEDSIĘBIORSTWA BUDOWLANEGO
132302;Zastępca kierownika małego przedsiębiorstwa budowlanego
132390;POZOSTALI KIEROWNICY DO SPRAW BUDOWNICTWA
132401;KIEROWNIK DZIAŁU LOGISTYKI
132401;Zastępca kierownika działu logistyki
132402;KIEROWNIK DZIAŁU TRANSPORTU
132402;Zastępca kierownika działu transportu
132403;KIEROWNIK DZIAŁU ZAKUPÓW
132403;Zastępca kierownika działu zakupów
