pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
2363;2363;Produkcja masy betonowej prefabrykowanej;Produkcja masy betonowej prefabrykowanej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2364;2364;Produkcja zaprawy murarskiej;Produkcja zaprawy murarskiej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2365;2365;Produkcja cementu wzmocnionego włóknem;Produkcja cementu wzmocnionego włóknem;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2369;2366;Produkcja pozostałych wyrobów z betonu, gipsu i cementu;Produkcja pozostałych wyrobów z betonu, cementu i gipsu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2370;2370;Cięcie, formowanie i wykańczanie kamienia;Cięcie, formowanie i wykańczanie kamienia;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2391;2391;Produkcja wyrobów ściernych;Produkcja wyrobów ściernych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2399;2399;Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana;Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2410;2410;Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych;Produkcja surówki żelazostopów, żeliwa i stali oraz wyrobów hutniczych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2420;2420;Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali;Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2431;2431;Produkcja prętów ciągnionych na zimno;Produkcja prętów ciągnionych na zimno;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2432;2432;Produkcja wyrobów płaskich walcowanych na zimno;Produkcja wyrobów płaskich walcowanych na zimno;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2433;2433;Produkcja wyrobów formowanych na zimno;Produkcja wyrobów formowanych na zimno;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2434;2434;Produkcja drutu;Produkcja drutu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2441;2441;Produkcja metali szlachetnych;Produkcja metali szlachetnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2442;2442;Produkcja aluminium;Produkcja aluminium;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2443;2443;Produkcja ołowiu, cynku i cyny;Produkcja ołowiu, cynku i cyny;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2444;2444;Produkcja miedzi;Produkcja miedzi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2445;2445;Produkcja pozostałych metali nieżelaznych;Produkcja pozostałych metali nieżelaznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2446;2446;Wytwarzanie paliw jądrowych;Wytwarzanie paliw jądrowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2451;2451;Odlewnictwo żeliwa;Odlewnictwo żeliwa;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2452;2452;Odlewnictwo staliwa;Odlewnictwo staliwa;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2453;2453;Odlewnictwo metali lekkich;Odlewnictwo metali lekkich;"odlewnictwo metali lekkich; produkcja odlewów z aluminium;  produkcja odlewów z magnezu; produkcja odlewów z tytanu; odlewnictwo narzędzi dentystycznych i tym podobnych z metali lekkich"
2453;2454;Odlewnictwo metali lekkich;Odlewnictwo pozostałych metali nieżelaznych;produkcja odlewów ze stopów cynku
2454;2454;Odlewnictwo pozostałych metali nieżelaznych;Odlewnictwo pozostałych metali nieżelaznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2511;2511;Produkcja konstrukcji metalowych i ich części;Produkcja konstrukcji metalowych i ich części;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2512;2512;Produkcja metalowych elementów stolarki budowlanej;Produkcja drzwi i okien z metalu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2521;2521;Produkcja grzejników i kotłów centralnego ogrzewania;Produkcja grzejników centralnego ogrzewania, wytwornic pary i kotłów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2529;2522;Produkcja pozostałych zbiorników, cystern i pojemników metalowych;Produkcja pozostałych zbiorników, cystern i pojemników metalowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2530;2521;Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą;Produkcja grzejników centralnego ogrzewania, wytwornic pary i kotłów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2540;2530;Produkcja broni i amunicji;Produkcja broni i amunicji;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2550;2540;"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków";Kucie i formowanie metali oraz metalurgia proszków;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2561;2551;Obróbka metali i nakładanie powłok na metale;Nakładanie powłok na metale;nakładanie powłok na metale
2561;2552;Obróbka metali i nakładanie powłok na metale;Obróbka cieplna metali;obróbka cieplna metali
2561;2553;Obróbka metali i nakładanie powłok na metale;Obróbka mechaniczna elementów metalowych;usuwanie zadziorów, piaskowanie, bębnowanie, polerowanie i grawerowanie metali
2562;2553;Obróbka mechaniczna elementów metalowych;Obróbka mechaniczna elementów metalowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2571;2561;Produkcja wyrobów nożowniczych i sztućców;Produkcja wyrobów nożowniczych i sztućców;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2572;2562;Produkcja zamków i zawiasów;Produkcja zamków i zawiasów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2573;2563;Produkcja narzędzi;Produkcja narzędzi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2591;2591;Produkcja pojemników metalowych;Produkcja pojemników metalowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2592;2592;Produkcja opakowań z metali ;Produkcja opakowań z metali lekkich;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2593;2593;Produkcja wyrobów z drutu, łańcuchów i sprężyn;Produkcja wyrobów z drutu, łańcuchów i sprężyn;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2594;2594;Produkcja złączy i śrub;Produkcja złączy i śrub;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2599;2599;Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana;Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2611;2611;Produkcja elementów elektronicznych;Produkcja elementów elektronicznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2612;2612;Produkcja elektronicznych obwodów drukowanych;Produkcja elektronicznych obwodów drukowanych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2620;2620;Produkcja komputerów i urządzeń peryferyjnych;Produkcja komputerów i urządzeń peryferyjnych;"produkcja komputerów stacjonarnych; produkcja laptopów; produkcja komputerów typu mainframe; produkcja komputerów kieszonkowych; produkcja dysków magnetycznych, pamięci typu „flash” i pozostałych urządzeń pamięci masowej; produkcja napędów dysków optycznych do komputerów; produkcja drukarek; produkcja monitorów; produkcja klawiatur; produkcja wszelkiego rodzaju myszy, joysticków i akcesoriów do trackballi; produkcja dedykowanych terminali komputerowych; produkcja serwerów komputerowych; produkcja skanerów, w tym skanerów kodów kreskowych; produkcja czytników kart inteligentnych; produkcja projektorów komputerowych (rzutników wideo); produkcja terminali komputerowych, takich jak bankomaty (ATM) i terminale w punktach sprzedaży (POS), nieobsługiwanych mechanicznie; produkcja wielofunkcyjnych urządzeń biurowych wykonujących dwie lub więcej z następujących funkcji, np. drukowanie, skanowanie, kopiowanie, telefaksowanie; uzupełnianie wkładów atramentowych"
2620;2640;Produkcja komputerów i urządzeń peryferyjnych;Produkcja elektronicznego sprzętu powszechnego użytku;produkcja kasków (hełmów) do kreowania rzeczywistości wirtualnej
2630;2630;Produkcja sprzętu (tele)komunikacyjnego;Produkcja sprzętu (tele)komunikacyjnego;"produkcja sprzętu przekaźnikowego dla centrali telefonicznych;  produkcja telefonów bezprzewodowych; produkcja sprzętu dla prywatnych centrali (PBX); produkcja telefonów, faksów w tym urządzenia typu automatyczne sekretarki telefoniczne; produkcja sprzętu do transmisji danych, takiego jak mosty, routery i bramki; produkcja anten nadawczych i odbiorczych; produkcja sprzętu do telewizji kablowej; produkcja pagerów; produkcja telefonów komórkowych; produkcja sprzętu do komunikacji mobilnej; produkcja radiowych i telewizyjnych urządzeń studyjnych i nadawczych, włączając kamery telewizyjne; produkcja modemów, urządzeń nośnych; produkcja nadajników radiowych i telewizyjnych; produkcja urządzeń komunikacyjnych wykorzystujących sygnał podczerwieni (np. pilotów zdalnego sterowania); produkcja inteligentnych zegarków"
2630;2651;Produkcja sprzętu (tele)komunikacyjnego;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych;produkcja systemów alarmowych przeciwwłamaniowych i przeciwpożarowych, wysyłających sygnały do stacji kontrolnej
2640;2640;Produkcja elektronicznego sprzętu powszechnego użytku;Produkcja elektronicznego sprzętu powszechnego użytku;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2651;2651;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2652;2652;Produkcja zegarków i zegarów;Produkcja zegarków i zegarów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2660;2660;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2670;2670;Produkcja instrumentów optycznych i sprzętu fotograficznego;Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2680;2670;Produkcja magnetycznych i optycznych niezapisanych nośników informacji;Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2711;2711;Produkcja elektrycznych silników, prądnic i transformatorów;Produkcja elektrycznych silników, prądnic i transformatorów;"produkcja silników elektrycznych, z wyłączeniem do pojazdów silnikowych; produkcja rozdzielczych transformatorów elektrycznych; produkcja transformatorów do spawania łukowego; produkcja stateczników lamp wyładowczych, w tym lamp wyładowczych rurowych; produkcja transformatorów podstacyjnych do dystrybucji energii elektrycznej; produkcja regulatorów napięcia przesyłowego i dystrybucyjnego; produkcja falowników, prostowników i konwerterów; produkcja elektrycznych siłowników liniowych; produkcja agregatów prądotwórczych (z wyjątkiem alternatorów do ładowania akumulatorów w silnikach spalinowych); produkcja zespołów prądotwórczych silnikowych (z wyjątkiem zespołów prądotwórczych turbinowych); przewijanie armatur na bazie fabrycznej; produkcja generatorów słonecznych, które mogą być wykorzystywane bezpośrednio do zasilania np. silnika lub elektrolizera"
2711;2910;Produkcja elektrycznych silników, prądnic i transformatorów;Produkcja pojazdów silnikowych;produkcja silników do pojazdów silnikowych, w tym silniki elektryczne
2712;2711;Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej;Produkcja elektrycznych silników, prądnic i transformatorów;produkcja zespołów prądotwórczych silnikowych (z wyłączeniem zespołów prądotwórczych turbinowych)
2712;2712;Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej;Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej;"produkcja wyłączników energii elektrycznej; produkcja ochronników przeciwprzepięciowych (w celu wyrównywania napięcia); produkcja pulpitów sterowniczych dla aparatury rozdzielczej energii elektrycznej; produkcja elektrycznych przekaźników; produkcja przewodów do rozdzielnic elektrycznych; produkcja bezpieczników elektrycznych; produkcja sprzętu do przełączania zasilania; produkcja elektrycznych przełączników zasilania (z wyjątkiem przycisków, zatrzasków, solenoidów, bębnów)"
2720;2720;Produkcja baterii i akumulatorów;Produkcja baterii i akumulatorów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2731;2731;Produkcja kabli światłowodowych;Produkcja kabli światłowodowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2732;2732;Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli;Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli;produkcja izolowanych przewodów i kabli wykonanych ze stali, miedzi, aluminium
2732;2733;Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli;Produkcja sprzętu instalacyjnego;produkcja przewodników elektrycznych
2733;2733;Produkcja sprzętu instalacyjnego;Produkcja sprzętu instalacyjnego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2740;2740;Produkcja elektrycznego sprzętu oświetleniowego;Produkcja sprzętu oświetleniowego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2751;2751;Produkcja elektrycznego sprzętu gospodarstwa domowego;Produkcja elektrycznego sprzętu gospodarstwa domowego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2752;2752;Produkcja nieelektrycznego sprzętu gospodarstwa domowego;Produkcja nieelektrycznego sprzętu gospodarstwa domowego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2790;2711;Produkcja pozostałego sprzętu elektrycznego;Produkcja elektrycznych silników, prądnic i transformatorów;"produkcja półprzewodnikowych falowników i urządzeń prostowniczych; produkcja falowników, prostowników i konwerterów"
2790;2790;Produkcja pozostałego sprzętu elektrycznego;Produkcja pozostałego sprzętu elektrycznego;"produkcja różnego sprzętu elektrycznego innego niż silniki, prądnice, transformatory, baterie i akumulatory, przewody i sprzęt instalacyjny, sprzęt oświetleniowy lub sprzęt gospodarstwa domowego; produkcja półprzewodnikowych urządzeń do ładowania akumulatorów; produkcja urządzeń elektrycznych do otwierania i zamykania drzwi; produkcja dzwonków elektrycznych; produkcja przedłużaczy wykonanych z zakupionego izolowanego drutu; produkcja myjek ultradźwiękowych (z wyjątkiem laboratoryjnych i dentystycznych); produkcja łóżek do opalania; produkcja ogniw paliwowych, zasilaczy regulowanych i nieregulowanych; produkcja zasilaczy bezprzerwowych (UPS); produkcja tłumików przepięć (z wyjątkiem napięcia na poziomie dystrybucji); produkcja przewodów do urządzeń, przedłużaczy i innych zestawów przewodów elektrycznych z izolowanymi przewodami i złączami; produkcja elektrod węglowych i grafitowych, styków i innych elektrycznych produktów węglowych i grafitowych; produkcja akceleratorów cząstek; produkcja kondensatorów elektrycznych, rezystorów, kondensatorów i podobnych komponentów; produkcja elektromagnesów; produkcja syren alarmowych; produkcja elektronicznych tablic wyników; produkcja znaków elektrycznych; produkcja elektrycznych urządzeń sygnalizacyjnych, takich jak światła drogowe i urządzenia sygnalizacyjne dla pieszych; produkcja izolatorów elektrycznych (z wyjątkiem szklanych lub porcelanowych); produkcja elektrycznego sprzętu spawalniczego i lutowniczego, w tym lutownic ręcznych; produkcja ładowarek pokładowych do pojazdów silnikowych; produkcja zmontowanych kabli, wyposażonych w złącza; produkcja urządzeń do ładowania samochodów"
2790;2931;Produkcja pozostałego sprzętu elektrycznego;Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych;produkcja modułów falowników i ogniw paliwowych do samochodów
2790;3299;Produkcja pozostałego sprzętu elektrycznego;Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana;produkcja papierosów elektronicznych (vapów)
2811;2811;Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych; Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych;"produkcja silników spalinowych tłokowych z wyłączeniem lotniczych, motocyklowych i do pojazdów silnikowych: silników do jednostek pływających, silników kolejowych; produkcja części nadających się do stosowania wyłącznie lub głównie w silnikach spalinowych, np. tłoków, pierścieni tłokowych, gaźników i podobnych do silników spalinowych, silników wysokoprężnych, z wyjątkiem pojazdów silnikowych; produkcja zaworów wlotowych i wylotowych do silników spalinowych; produkcja turbin i ich części turbin parowych i innych turbin parowych, turbin hydraulicznych, kół wodnych i ich regulatorów, turbinn wiatrowych i młynów, turbin gazowych, z wyjątkiem turboodrzutowych lub turbośmigłowych do napędu statków powietrznych; produkcja zespołów kocioł-turbina; produkcja zespołów turbina-generator, składających się z turbiny i generatora zamontowanych razem; produkcja silników do zastosowań przemysłowych; remonty fabryczne silników okrętowych i łodziowych"
2811;2932;Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych;Produkcja pozostałych części i akcesoriów do pojazdów silnikowych;produkcja tłoków, pierścieni tłokowych i gaźników do pojazdów silnikowych
2811;3091;Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych;Produkcja motocykli;produkcja tłoków, pierścieni tłokowych i gaźników do motocykli
2812;2812;Produkcja sprzętu i wyposażenia do napędu hydraulicznego i pneumatycznego;Produkcja sprzętu i wyposażenia do napędu hydraulicznego i pneumatycznego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2813;2813;Produkcja pozostałych pomp i sprężarek;Produkcja pozostałych pomp i sprężarek;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2814;2814;Produkcja pozostałych kurków i zaworów;Produkcja pozostałych kurków i zaworów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2815;2815;Produkcja łożysk, kół zębatych, przekładni zębatych i elementów napędowych;Produkcja łożysk, kół zębatych, przekładni zębatych i elementów napędowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2821;2821;Produkcja pieców, palenisk i palników piecowych;Produkcja pieców, palenisk i stałych urządzeń grzewczych dla gospodarstw domowych;"produkcja pieców elektrycznych i pozostałych pieców przemysłowych i laboratoryjnych oraz pieców do spopielania;  produkcja palników piecowych; produkcja kotłów centralnego ogrzewania, solarnych podgrzewaczy wody i podobnych urządzeń; produkcja urządzeń chłodzących i wentylacyjnych domowych; produkcja mechanicznych palenisk, rusztów, wyrzutników popiołu itp.; produkcja ogólnie nieodwracalnych pomp ciepła (pracujących tylko w jednym kierunku), stosowanych głównie do ogrzewania pomieszczeń lub dostarczania ciepłej wody użytkowej"
2821;2825;Produkcja pieców, palenisk i palników piecowych;Produkcja przemysłowych urządzeń chłodniczych, wentylacyjnych i klimatyzacyjnych;produkcję odwracalnych pomp ciepła z wentylatorem silnikowym i urządzeniami do zmiany temperatury i wilgotności powietrza
2822;2822;Produkcja urządzeń dźwigowych i chwytaków;Produkcja urządzeń podnośnikowych i przeładunkowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2823;2620;Produkcja maszyn i sprzętu biurowego, z wyłączeniem komputerów i urządzeń peryferyjnych;Produkcja komputerów i urządzeń peryferyjnych;produkcja tonerów
2823;2823;Produkcja maszyn i sprzętu biurowego, z wyłączeniem komputerów i urządzeń peryferyjnych;Produkcja maszyn i sprzętu biurowego, z wyłączeniem komputerów i urządzeń peryferyjnych;"produkcja maszyn liczących; produkcja kas rejestrujących; produkcja kalkulatorów; produkcja liczników pocztowych, maszyn do obsługi poczty (maszyn do kopertowania, zaklejania i adresowania; maszyn do otwierania, sortowania, skanowania); produkcja maszyn do pisania i maszyn stenograficznych; produkcja urządzeń do bindowania typu biurowego (np. bindowanie plastikiem lub taśmą); produkcja maszyn do sortowania, liczenia i pakowania monet; produkcja maszyn do ostrzenia ołówków; produkcja maszyn do zszywania; produkcja maszyn do głosowania; produkcja dyspenserów taśmy; produkcja dziurkaczy; Produkcja urządzeń do fotokopiowania; produkcja czarnych tablic; białych tablic i markerów z powierzchniami do pisania lub rysowania; produkcja dyktafonów"
2824;2824;Produkcja narzędzi ręcznych mechanicznych;Produkcja narzędzi ręcznych mechanicznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2825;2825;Produkcja przemysłowych urządzeń chłodniczych i wentylacyjnych;Produkcja przemysłowych urządzeń chłodniczych, wentylacyjnych i klimatyzacyjnych;"produkcja przemysłowych urządzeń chłodniczych lub zamrażających; produkcja urządzeń klimatyzacyjnych nieprzeznaczonych do pojazdów silnikowych; produkcja wentylatorów nieprzeznaczonych dla gospodarstw domowych; produkcja wymienników ciepła; produkcja maszyn do skraplania powietrza lub innych gazów; produkcja wentylatorów do wentylacji poddaszy, np. wentylatorów szczytowych, wentylatorów dachowych; produkcja parowników i skraplaczy do chłodziarek nieprzeznaczonych dla gospodarstw domowych"
2825;2932;Produkcja przemysłowych urządzeń chłodniczych i wentylacyjnych;Produkcja pozostałych części i akcesoriów do pojazdów silnikowych;produkcja klimatyzatorów do pojazdów silnikowych
2829;2829;Produkcja pozostałych maszyn ogólnego przeznaczenia, gdzie indziej niesklasyfikowana;Produkcja pozostałych maszyn ogólnego przeznaczenia, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2830;2830;Produkcja maszyn dla rolnictwa i leśnictwa;Produkcja maszyn dla rolnictwa i leśnictwa;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2841;2841;Produkcja maszyn do obróbki metalu;Produkcja maszyn do obróbki metalu i narzędzi mechanicznych do metalu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2849;2790;Produkcja pozostałych narzędzi mechanicznych;Produkcja pozostałego sprzętu elektrycznego;produkcja maszyn do galwanotechniki
2849;2841;Produkcja pozostałych narzędzi mechanicznych;Produkcja maszyn do obróbki metalu i narzędzi mechanicznych do metalu;produkcję maszyn do pilnikowania, nitownic, nożyc do obróbki metalu
2849;2842;Produkcja pozostałych narzędzi mechanicznych;Produkcja pozostałych narzędzi mechanicznych; produkcja obrabiarek do obróbki drewna, korka, kości, kamienia, ebonitu, twardych tworzyw sztucznych, materiałów ceramicznych, betonu, szkła na zimno lub podobnych twardych materiałów i tym podobnych, w tym obrabiarki pracujące w oparciu o wiązkę lasero
2891;2891;Produkcja maszyn dla metalurgii;Produkcja maszyn dla metalurgii;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2892;2830;Produkcja maszyn dla górnictwa i do wydobywania oraz budownictwa;Produkcja maszyn dla rolnictwa i leśnictwa;produkcja ciągników do układania torów
2892;2892;Produkcja maszyn dla górnictwa i do wydobywania oraz budownictwa;Produkcja maszyn dla górnictwa i do wydobywania oraz budownictwa;"produkcja przenośników i podnośników towarów i materiałów, stosowanych pod ziemią, pracujących w trybie ciągłym; produkcja maszyn do wybierania, wiercenia, maszyn do drążenia w ziemi lub wydobywania minerałów i rud, wrębiarek do węgla lub skał i maszyn do drążenia tuneli; produkcja maszyn do obróbki minerałów poprzez przesiewanie, sortowanie, oddzielanie, płukanie, kruszenie, mielenie, mieszanie lub ugniatanie ziemi, kamieni, rud lub innych substancji mineralnych, w postaci stałej (włączając proszek lub pastę); produkcja betoniarek i mieszarek do zapraw; produkcja maszyn do robót ziemnych: spycharek, spycharek kątowych, równiarek, zgarniarek, niwelatorów, łopat mechanicznych, ładowarek łopatowych itp.; produkcja kafarów i wyciągarek do pali, rozsypywarek zaprawy, rozsypywarek bitumu, maszyn do układania nawierzchni betonowych itp.; produkcja maszyn do mieszania substancji mineralnych z bitumem; produkcja koparek gąsienicowych; produkcja lemieszy do spycharek i spycharek kątowych; produkcja wywrotek terenowych; produkcja pługów śnieżnych i odśnieżarek; produkcja maszyn do wiercenia, cięcia lub drążenia otworów w ziemi lub do wydobywania minerałów lub rud, lub maszyn do cięcia węgla lub skał oraz maszyn do drążenia tuneli"
2893;2893;Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i produkcji napojów;Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i produkcji napojów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2894;2894;Produkcja maszyn dla przemysłu tekstylnego, odzieżowego i skórzanego;Produkcja maszyn dla przemysłu tekstylnego, odzieżowego i skórzanego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2895;2895;Produkcja maszyn dla przemysłu papierniczego;Produkcja maszyn dla przemysłu papierniczego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2896;2896;Produkcja maszyn do obróbki gumy lub tworzyw sztucznych oraz wytwarzania wyrobów z tych materiałów;Produkcja maszyn do obróbki gumy lub tworzyw sztucznych ;produkcja maszyn do obróbki miękkiej gumy lub tworzyw sztucznych oraz wytwarzania wyrobów z tych materiałów: wytłaczarek, maszyn do formowania, maszyn do produkcji lub bieżnikowania opon pneumatycznych oraz pozostałych maszyn do produkcji wyrobów z gumy lub tworzyw sztunych
2896;2897;Produkcja maszyn do obróbki gumy lub tworzyw sztucznych oraz wytwarzania wyrobów z tych materiałów;Produkcja maszyn do wytwarzania przyrostowego;produkcja maszyn do wytwarzania przyrostowego przez nakładanie tworzyw sztucznych lub gumy
2899;2897;Produkcja pozostałych maszyn specjalnego przeznaczenia, gdzie indziej niesklasyfikowana;Produkcja maszyn do wytwarzania przyrostowego;produkcja maszyn do wytwarzania przyrostowego przez nakładanie metalu, tworzyw sztucznych, gumy, gipsu, cementu, ceramiki i tym podobnych
2899;2899;Produkcja pozostałych maszyn specjalnego przeznaczenia, gdzie indziej niesklasyfikowana;Produkcja pozostałych maszyn specjalnego przeznaczenia, gdzie indziej niesklasyfikowana;"produkcja suszarek do drewna, masy papierniczej, papieru, tektury lub innych materiałów (z wyłączeniem produktów rolnych i wyrobów tekstylnych), produkcja maszyn drukarskich i introligatorskich, maszyn do prac pomocniczych przy drukowaniu na różnego rodzaju materiałach; produkcja maszyn do produkcji płytek, cegieł, kształtowanych past ceramicznych, rur, elektrod grafitowych, kredy tablicowej itp.;produkcja maszyn do produkcji półprzewodników; produkcja maszyn do formowania form odlewniczych; produkcja robotów przemysłowych wykonujących wiele zadań do celów specjalnych; produkcja różnorodnych maszyn i urządzeń specjalnego przeznaczenia, np: maszyn do montażu elektrycznych lub elektronicznych lamp, rur (zaworów) lub żarówek; maszyny do produkcji lub obróbki na gorąco szkła lub wyrobów szklanych, włókna szklanego lub przędzy szklanej; maszyny lub aparatura do separacji izotopowej; produkcja urządzeń do wyrównywania i wyważania opon; urządzeń do wyważania (z wyjątkiem wyważania kół); produkcja systemów centralnego smarowania; produkcja sprzętu do wodowania samolotów, katapult do lotniskowców i podobnego sprzętu; produkcja automatycznego wyposażenia kręgielni, np. ustawiaczy kręgli; produkcja karuzel, huśtawek, strzelnic i innych urządzeń rozrywkowych w wesołych miasteczkach; produkcja maszyn do prasowania odpadów; produkcja maszyn do tynkowania; produkcja bramek obrotowych; produkcja systemów zwijających, używanych do zwijania lub zwalniania olinowania bieżącego"
2910;2910;Produkcja pojazdów samochodowych, z wyłączeniem motocykli;Produkcja pojazdów silnikowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2920;2920;"Produkcja nadwozi do pojazdów silnikowych; produkcja przyczep i naczep";"Produkcja nadwozi do pojazdów silnikowych; produkcja przyczep i naczep";podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
