,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31009000000
2011-09-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-12,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-13,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-14,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-15,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-16,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-19,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-20,658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-21,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-22,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-23,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-24,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-26,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-27,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-28,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-29,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-30,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-02,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-03,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-04,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-05,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-06,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-07,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-10,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-11,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-12,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-13,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-14,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-16,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-18,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
