id;nazwa;zadania;wykluczenie
3230; Manufacture of sports goods;"This class includes the manufacture of sporting and athletic goods (except apparel and footwear).This class includes:  manufacture of articles and equipment for sports, outdoor and indoor games, of any material, e.g.: hard, soft and inflatable balls;rackets, bats and clubs;skis, bindings and poles;ski-boots, snowboard boots and cross-country ski footwear;sailboards and surfboards and water-skis;requisites for sport fishing, including landing nets;decoy ‘birds’ and similar requisites for hunting or shooting;articles and equipment for mountain climbing;gloves for use in sport, of leather or composition leather;basins for swimming and padding pools;ice skates, roller skates;bows and crossbows;gymnasium, fitness centre or athletic equipment";"This class excludes:  manufacture of boat sails, see 13.96;manufacture of sports apparel, see 14.29;manufacture of saddlery and harness, see 15.12;manufacture of whips and riding crops, see 15.12;manufacture of sports footwear, see 15.20;manufacture of rubber wet suits and diving suits, see 22.12;manufacture of plastic headgear, see 22.26;manufacture of sporting, hunting or target-shooting weapons and ammunition, see 25.30;manufacture of metal weights as used for weightlifting, see 25.99;manufacture of sports vehicles other than bobsleighs, toboggans, etc, see divisions 29, 30;manufacture of boats for sports and recreation, see 30.12;manufacture of billiard tables, see 32.40;manufacture of ear and noise plugs (e.g. for swimming and noise protection), see 32.99;manufacture of safety headgear, see 32.99;repair of sporting goods, see 95.29"
3291; Manufacture of brooms and brushes;"This class includes:  manufacture of brooms and brushes, e.g. toilet brushes, household brushes, paint brushes, fine brushes and technical and industrial brushes, including brushes constituting parts of machines, hand-operated mechanical floor sweepers, mops and feather dusters, paint brushes, paint pads and rollers, squeegees and other brushes, brooms, mops;manufacture of shoe and clothes brushes";
3212; Manufacture of jewellery and related articles;"This class includes:  production of worked pearls;production of precious and semi-precious stones in the worked state, including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones;working of diamonds;manufacture of jewellery of precious metal or of base metals clad with precious metals, or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones;manufacture of goldsmiths' articles of precious metals or of base metals clad with precious metals, e.g.: dinnerware, flatware, hollowware, toilet articles, office or desk articles, articles for religious use;manufacture of technical or laboratory articles of precious metal (except instruments and parts thereof), e.g.: crucibles, spatulas, electroplating anodes;manufacture of precious metal watch bands, wristbands, watch straps and cigarette cases; This class also includes:  engraving of personal precious and non-precious metal products";"This class excludes:  manufacture of non-metal watch bands (fabric, leather, plastic etc.), see 15.12;manufacture of base metals clad with silver, gold or platinum, not further worked, see 24.41;manufacture of statuettes and other ornaments of base metal plated with precious metal, see 25.99;manufacture of watchcases, whether or not of precious metal, see 26.52;manufacture of (non-precious) metal watch bands, see 32.13;manufacture of imitation jewellery, whether or not plated with precious metal, see 32.13;repair of jewellery, see 95.25"
3092; Manufacture of bicycles and invalid carriages;"This class includes:  manufacture of non-motorised bicycles and other cycles, including (delivery) tricycles, tandems, children's bicycles and tricycles;manufacture of parts and accessories of bicycles, e.g. frames, forks, wheel rims and spokes, hubs, brakes, saddles, pedals, crank-gear and derailleur gears;manufacture of bicycles with an auxiliary electric motor;manufacture of carriages for disabled persons with or without motor;manufacture of parts and accessories of carriages for disabled persons;manufacture of personal transporters, e.g. electric skateboard and kick scooters;manufacture of baby carriages and parts thereof";"This class excludes:  manufacture of pneumatic tyres and inner tubes of rubber, of a kind used for bicycles, see 22.11;manufacture of wheeled toys designed to be ridden, including plastic bicycles and tricycles, see 32.40"
7912; Tour operator activities;"This class includes:  arranging, assembling, and marketing of packaged tours: pre-packaged tours, domestic and international;custom packaged tours for groups, domestic or internationalSuch a package usually includes passenger and baggage transportation, accommodation, food and sightseeing services. Tour operators are engaged in the operation of tour packages that are sold by travel agencies, including arranging and assembling different services in the packaged tour. The tour operators might be employed or contracted by a travel agency, or they might operate as independent tour operators.";This class excludes:  sale of packaged tours, see 79.11
4933; On-demand passenger transport service activities by vehicle with driver;"This class includes on-demand transportation of passengers in vehicles with driver, for transport of 9 or less persons:  taxi services;private hire vehicles with driver;motorbike taxi services";"This class excludes:  bike taxi service, see 49.39;passenger road transport by vehicles drawn by human or animal, see 49.39;intermediation service activities for passenger transportation, see 52.32;patient transportation by ambulance, see 86.92"
4934; Passenger transport by cableways and ski lifts;"This class includes:  transport by cableways, ski lifts and chairlifts, which may include preparation of ski slopes;passenger transport by lifts; This class also includes:  freight transport by cableways";"This class excludes:  passenger transport by funicular railway, see 49.12;passenger rail transport for sightseeing, see 49.12;non-scheduled passenger road transport in vehicles of 10 or more persons, see 49.32;operation of sports areas, which may include the operation of cableways, ski lifts and chairlifts, see 93.11"
4939; Other passenger land transport n.e.c.;"This class includes:  bike taxi service;passenger road transport by vehicles drawn by human or animal";"This class excludes:  ambulance transport, see 86.92;transport of human remains, see 96.30"
4942; Removal services;"This class includes:  removal (relocation) services to businesses and households by road transport; This class also includes:  leasing of removal vehicle with driver;storage of furniture as part of the removal service";
7722; Rental and leasing of other personal and household goods;"This class includes:  rental of all kinds of household or personal goods, to households or industries (except recreational and sports equipment): textiles, wearing apparel and footwear, e.g. curtains, costumes, wedding dresses and shoes;furniture, pottery and glass, kitchen and tableware, electrical appliances and house wares;jewellery, musical instruments, scenery and costumes;books, journals and magazines;machinery and equipment used by amateurs, e.g. tools for home repairs;flowers and plants;electronic equipment for household use;rental of video games, video discs, records, etc.;rental of gazebos and tensile structures without additional services";"This class excludes:  providing accommodation services in tents, see section I;provision of online games by the publisher (not only one-time purchases, but also subscriptions as well as in-game purchases and in-app purchases), see 58.21;independent online gaming/video game sites, see 60.39;rental of cars, motorcycles, trucks, utility trailers and recreational vehicles without driver, see 77.1;rental of recreational and sports goods, see 77.21;rental of office furniture, see 77.33;rental of caravan trailers, see 77.39;rental of tents for events, see 77.39"
8695; Physiotherapy activities;"This class includes therapies provided by independent professionals to improve mobility, restore function or reduce pain. The therapies provided include physiotherapy etc.; This class also includes:- activities of medical massage therapists- activities of ergotherapists- activities of occupational therapists";This class excludes:- activities of osteopaths, see 86.96- activities of chiropractors, see 86.96- body treatment techniques, e.g. shiatsu, Thai massage, watsu, tuina qigong, see 86.99- massage salons for non-medical massage, see 96.2
