id;nazwa;zadania;wykluczenie
2361; Manufacture of concrete products for construction purposes;"This class includes:  manufacture of precast concrete, cement or artificial stone articles for use in construction: tiles, flagstones, building blocks, bricks, boards, sheets, panels, pipes, posts etc.;manufacture of prefabricated buildings and structural components for building or civil engineering, traffic control and obstruction, of cement, concrete or artificial stone;manufacture of prefabricated factory made elements of brick for construction of prefabricated buildings to be used in landscaping and retaining wall, wastewater and stormwater management, and underground utilities;manufacture of factory-made element with concrete;manufacture of prefabricated concrete pipes for drinking water; This class also includes:  manufacture of calcium silicate masonry units;manufacture of autoclaved aerated concrete masonry units";
0721; Mining of uranium and thorium ores;"This class includes:  mining of ores chiefly valued for uranium and thorium content: pitchblende etc.;concentration of such ores;manufacture of yellowcake";"This class excludes:  enrichment of uranium and thorium ores, see 20.13;production of uranium metal from pitchblende or other ores, see 24.46;smelting and refining of uranium, see 24.46"
0812; Operation of gravel and sand pits and mining of clay and kaolin;"This class includes:  extraction and dredging of industrial sand, sand for construction and gravel;breaking and crushing of gravel;quarrying of sand;mining of clays, refractory clays and kaolin";This class excludes:  mining of bituminous sand, see 06.10
8230; Organisation of conventions and trade shows;"This class includes the organisation, promotion and/or management of events, e.g.:  business and trade shows;company events;general or specialised exhibitions;conferences and conventions;seminars, symposiums and workshops- farm markets and craft fairsThis class may further include the management and provision of the staff to operate the facilities in which the aforementioned events take place but only if the management and provision of staff are performed in association with the organisation, promotion and/or management of such events.";"This class excludes:- erection of exhibition stands/boots depending on the type of installation performed, see division 43- organisation of cultural events, e.g. film festivals, musicals or dance festivals, see 90.39;technical planning, supply, setting up and operation of audiovisual equipment and special effects associated with the organisation of artistic events, 90.39- organisation of sport events, see 93.19;technical planning, supply, setting up and operation of audiovisual equipment and special effects associated with the organisation of non-artistic events, see 93.29;organisation of personal ceremonies or celebrations, including weddings, name-giving ceremonies, birthday parties etc., see 96.99"
8299; Other business support service activities n.e.c.;"This class includes:  fundraising organisation services on a contract or fee basis- court reporting or stenotype recording services- public stenography services- real-time (i.e. simultaneous) closed captioning of meetings, conferences- bar coding services- bar code imprinting services- parking meter coin collection services;activities of handling visa and work permit- restaurant voucher handling service activities- providing assistance in motor vehicle registration- relocation service activities- leisure activities gift package administration- voucher issuing and handling activities;charity crowd funding;company domiciliation services;reading of consumption of heat and hot water, including cost allocation- administration of loyalty programmes;selling of travel boxes: form of distribution of a service linked to travel, but a deferred service, which can be of any nature: hotels, restaurants, care, leisure activities, etc.)";"This class excludes:  activities of auctioning houses (wholesale) and online auction activities (wholesale), see 46.1;activities of auctioning houses (retail sale) and online auction activities (retail sale), see 47.9;providing film or tape captioning or subtitling services, see 59.12;activities of shared service centres (SSC) with strategic and managerial activities/centralised activities, see 70.10;business and other management consultancy activities, see 70.20;activities of shared service centres (SSC) with two or more combined activities (set of administrative services) providing operational tasks for the whole enterprise or group, e.g. reception, financial planning, billing and record keeping, personnel and mail services for the same enterprise group, see 82.10;provision of document transcription services, see 82.10;intermediation service activities for business support service activities n.e.c., see 82.40"
6910; Legal activities;"This class includes:  legal representation of one party's interest against another party, whether or not before courts or other judicial bodies by, or under supervision of, persons who are members of the bar: advice and representation in civil cases;advice and representation in criminal cases;advice and representation in connection with labour disputes;general counselling and advising, preparation of legal documents: articles of incorporation, partnership agreements or similar documents in connection with company formation;patents and copyrights;preparation of deeds, wills, trusts etc.;other activities of notaries public, civil law notaries, bailiffs, arbitrators, examiners and referees; This class also includes:  legal mediation activities;activities of appointed legal guardians, without provision of residential care";"This class excludes:  law court activities, see 84.23;social mediation, see 88.99"
8411; General public administration activities;"This class includes:  executive and legislative administration of central, regional and local bodies;activities of ministries at national and regional level;administration and supervision of fiscal affairs: operation of taxation schemes;duty/tax collection on goods and tax violation investigation;customs administration;budget implementation and management of public funds and public debt: raising and receiving of money and control of their disbursement;administration of overall (civil) research and development policy and associated funds;administration and operation of overall economic and social planning and statistical services at the various levels of government";"This class excludes:  central banking, see 64.11;operation of government owned or occupied buildings, see 68.2, 68.3;administration of research and development policies intended to increase personal well-being and of associated funds, see 84.12;administration of research and development policies intended to improve economic performance and competitiveness, see 84.13;administration of defence-related research and development policies and of associated funds, see 84.22;operation of government archives, see 91.12"
6419; Other monetary intermediation;"This class includes the receiving of deposits and/or close substitutes for deposits and extending of credit or other forms of lending funds. The granting of credit can take a variety of forms, e.g. loans, mortgages, consumer credit cards etc. These activities are generally carried out by monetary institutions other than central banks, e.g.:  banks;savings banks;credit cooperatives and unions; This class also includes:  postal giro and postal saving banks activities;credit granting by specialised deposit-taking institutions, e.g. for house purchases, agriculture;money order activities";"This class excludes:  credit granting by specialised non-depository institutions, e.g. for house purchases, see 64.92;credit card transaction processing and settlement activities, see 66.19"
2452; Casting of steel;"This class includes:  manufacture of castings made of alloy or common steel castings;manufacture of castings made of carbon or commercial steel castings;manufacture of castings made of alloy and high alloy castings;manufacture of castings made of stainless steel castings";
0620; Extraction of natural gas;"This class includes:  production of crude gaseous hydrocarbon (natural gas);extraction of condensates;draining and separation of liquid hydrocarbon fractions;gas desulphurisation;extraction of coal mine methane; This class also includes:  mining of hydrocarbon liquids, obtained through liquefaction or pyrolysis;fracking to extract coal seam gas";"This class excludes:  support activities for oil and natural gas extraction, see 09.10;oil and gas exploration, see 09.10;production of natural gas liquids from crude petroleum (crude oil), see 19.2;recovery of liquefied petroleum gases in the refining of petroleum, see 19.20;manufacture of industrial gases, see 20.11;operation of pipelines, see 49.50"
0910; Support activities for petroleum and natural gas extraction;"This class includes:  oil and gas extraction service activities provided on a fee or contract basis: exploration services in connection with petroleum or gas extraction, e.g. traditional prospecting methods, e.g. making geological observations at prospective sites;directional drilling and redrilling; 'spudding in'; derrick erection in situ, repairing and dismantling; cementing oil and gas well casings; pumping of wells; plugging and abandoning wells etc.;liquefaction and regasification of natural gas for purpose of transport, done at the mine site;draining and pumping services, on a fee or contract basis;test drilling in connection with petroleum or gas extraction; This class also includes:  oil and gas field firefighting services and fire prevention services";"This class excludes:  service activities performed by operators of oil or gas fields, see 06.10, 06.20;specialised repair and maintenance of drilling and extraction machinery and equipment, see 33.12;specialised offshore installation, repair and maintenance of equipment that forms an integral part of floating platforms, see division 43;liquefaction and regasification of natural gas for purpose of transport, not done on the mine, see 52.22;geophysical surveying services, on a contract or fee basis, see 71.12"
6630; Fund management activities;"This class includes portfolio and fund management activities, for instance making decisions on which investments to purchase or sell, on a fee or contract basis, for individuals, businesses and others, e.g.:  management of mutual funds;management of other investment funds;management of pension funds; This class also includes:  activities of asset management, on a fee or contract basis;trustee, fiduciary and custody services on a fee or contract basis";"This class excludes:  dealing in financial markets on own account, see 64.99;management of real estate, see division 68;management of public funds and public debt services, see 84.11"
2434; Cold drawing of wire;This class includes:  manufacture of drawn steel wire, by cold drawing of steel wire rod;"This class excludes:  drawing of bars and solid sections of steel, see 24.31;manufacture of derived wire products, see 25.93"
0210; Silviculture and other forestry activities;"This class includes:  growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts;growing of coppice, pulpwood and fire wood;operation of forest tree nurseries;growing of poplar and willowThese activities can be carried out in natural, semi-natural or planted forests.";"This class excludes:  growing of Christmas trees, see 01.29;operation of tree nurseries, except for forest trees, see 01.30;gathering of mushrooms and other wild growing non-wood forest products, see 02.30;production of wood chips and particles, not associated with forestry activities, see 16.11;production of wood fire logs not associated with forestry activities, see 16.26;activities relating to amenity tree care and arboriculture, see 81.30"
0892; Extraction of peat;"This class includes:  peat digging;preparation of peat to improve quality or facilitate transport or storage";"This class excludes:  service activities incidental to peat mining, see 09.90;manufacture of peat briquettes, see 19.20;manufacture of potting soil mixtures, of e.g. of peat, natural soil, sands, clays, fertiliser minerals, see 20.15;manufacture of articles of peat, see 23.99"
2443; Lead, zinc and tin production;"This class includes:  production of unwrought lead, zinc and tin, alloyed or not alloyed, from ores or from lead, zinc or tin waste and scrap;manufacture of bars, rods, profiles, wire, plates, sheets, strip and foil of lead, zinc or tin; This class also includes:  manufacture of zinc powder by atomisation of molten zinc";"This class excludes:  casting of lead, zinc or tin, see 24.54;shredding of lead, zinc or tin waste and scrap, see 38.21"
0220; Logging;"This class includes:  production of roundwood for forest-based manufacturing industries;production of roundwood used in an unprocessed form, e.g. pit-props, fence posts, utility poles; This class also includes:  gathering and production of forest harvesting residues, e.g. brushwood, stumps, wood chips from logging, other forest waste for energy;production of charcoal in the forest (using traditional methods)";"This class excludes:  growing of Christmas trees, see 01.29;growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 02.10;gathering of wild growing non-wood forest products, see 02.30;production of wood chips and particles, not associated with forestry activities, see 16.11;production of charcoal through distillation of wood, see 20.14"
0893; Extraction of salt;"This class includes:  extraction of salt from underground, including by dissolving and pumping;salt production by evaporation of sea water or other saline waters;crushing, purification and refining of salt by the producer";"This class excludes:  processing of salt into food-grade salt, e.g. iodised salt, see 10.84;potable water production by evaporation of saline water, see 36.00"
6530; Pension funding;"This class includes provision of retirement income benefits exclusively for the sponsor's employees or members and other insurance products regulated as employer-related funds. This includes pension plans with defined benefits as well as defined contributions.This class includes:  provision of employee benefit plans;provision of pension funds and plans;provision of retirement plans";"This class excludes:  management of pension funds, see 66.30;compulsory social security schemes, see 84.30"
0899; Other mining and quarrying n.e.c.;"This class includes:  mining and quarrying of various minerals and materials: abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar etc.;natural asphalt, asphaltites and asphaltic rock; natural solid bitumen;gemstones, quartz, mica etc.";
2611; Manufacture of electronic components;"This class includes the manufacture of semi-conductors and other components for electronic applications.This class includes:  manufacture of capacitors, electronic;manufacture of resistors, electronic;manufacture of microprocessors;manufacture of electron tubes;manufacture of cables, printer cables, monitor cables, USB cables;manufacture of bare printed circuit boards, consisting only of conductor elements and contacts;manufacture of integrated circuits (analogue, digital or hybrid);manufacture of diodes, transistors and related discrete devices;manufacture of inductors (e.g. chokes, coils, transformers), electronic component type;manufacture of electronic crystals and crystal assemblies;manufacture of solenoids, switches and transducers for electronic applications;manufacture of dice or wafers, which consist of chemical elements (e.g. silicon), that are selectively doped or diffused to create discrete regions for the purposes of their applications in the field of electronics;manufacture of display components (plasma, polymer, LCD);manufacture of light emitting diodes (LED);manufacture of photovoltaic cells, modules and panels";"This class excludes:  printing of smart cards, see 18.12;manufacture of printed circuits consisting of conductor elements, contacts and other passive elements, see 26.12;manufacture of computer and television displays, see 26.20, 26.40;manufacture of modems (carrier equipment), see 26.30;manufacture of X-ray tubes and similar irradiation devices, see 26.60;manufacture of optical equipment and instruments, see 26.70;manufacture of similar devices for electrical applications, see division 27;manufacture of fluorescent ballasts, see 27.11;manufacture of solar generators, which can be used directly to supply power to, e.g. a motor or an electrolyser, see 27.11;manufacture of electrical relays, see 27.12;manufacture of electrical wiring devices, e.g. connectors, see 27.33;manufacture of assembled electric conductors, insulated and fitted with connectors, see 27.90;manufacture of solar water heaters, see 28.21;installation of solar panels, see 43.21;installation of solar heating systems, see 43.22"
2612; Manufacture of loaded electronic boards;"This class includes:  manufacture of loaded printed circuit boards consisting of conductor elements, contacts and other passive elements;loading of passive elements components onto printed circuit boards;manufacture of interface cards, e.g. sound, video, controllers, network, modems, loaded with passive elements";"This class excludes:  printing of smart cards, see 18.12;manufacture of bare printed circuit boards, consisting only of conductor elements and contacts, see 26.11"
0129; Growing of other perennial crops;"This class includes:  growing of rubber trees for harvesting of latex;growing of Christmas trees;growing of trees for extraction of sap;growing of vegetable materials of a kind used primarily for plaiting";"This class excludes:  growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19;gathering of tree sap or rubber-like gums in the wild, see 02.30"
2670; Manufacture of optical instruments, magnetic and optical media and photographic equipment;"This class includes the manufacture of optical instruments and lenses, e.g. binoculars, microscopes (except electron, proton), telescopes, prisms, lenses (except ophthalmic); the coating or polishing of lenses (except ophthalmic); the mounting of lenses (except ophthalmic), the manufacture of photographic equipment, e.g. cameras and the manufacture of light meters.This class includes:  manufacture of optical mirrors;manufacture of optical gun sighting equipment;manufacture of optical positioning equipment;manufacture of optical magnifying instruments;manufacture of optical machinist's precision tools;manufacture of optical comparators;manufacture of film cameras and digital cameras;manufacture of motion picture and slide projectors;manufacture of overhead transparency projectors;manufacture of optical measuring and checking devices and instruments (e.g. fire control equipment, photographic light meters, range finders);manufacture of lenses, optical microscopes, binoculars and telescopes;manufacture of objective lenses for cameras, projectors or photographic enlargers or reducers;manufacture of laser assemblies;manufacture of unrecorded magnetic audio and video tapes;manufacture of unrecorded optical disks";"This class excludes:  reproduction of recorded media (computer media, sound, video, etc.), see 18.20;manufacture of computer projectors, see 26.20;manufacture of commercial TV and video cameras, see 26.30;manufacture of household-type video cameras, see 26.40;manufacture of fire alarms, see 26.51;manufacture of complete equipment using laser components, see manufacturing class by type of machinery (e.g. medical laser equipment, see 26.60);manufacture of photocopy machinery, see 28.23;manufacture of ophthalmic goods, see 32.50"
0161; Support activities for crop production;"This class includes:  crop production activities on a fee or contract basis: preparation of fields;establishing a crop;treatment of crops;crop spraying, including by air;trimming of fruit trees and vines;transplanting of rice, thinning of beets;harvesting;pest control (including rabbits) in connection with agriculture;operation of agricultural irrigation equipment; This class also includes:  provision of agricultural machinery with operators and crew;maintenance of own or leased land keeping it in good condition, without agricultural production";"This class excludes:  post-harvest crop activities, see 01.63;drainage of agricultural land, see 43.12;landscape architecture, see 71.11;activities of agronomists and agricultural economists, see 74.99;landscape gardening, planting, see 81.30;organisation of agricultural shows and fairs, see 82.30"
2522; Manufacture of other tanks, reservoirs and containers of metal;"This class includes:  manufacture of reservoirs, tanks, vats and similar containers of metal of a capacity exceeding 300 litres, whether or not lined or heat-insulated;manufacture of metal containers for compressed or liquefied gas";"This class excludes:  manufacture of metal casks, drums, cans, pails, boxes etc. of a kind normally used for carrying and packing of goods, of a capacity not exceeding 300 litres, see 25.91, 25.92;manufacture of transport containers, see 29.20;manufacture of tanks (armoured military vehicles), see 30.40"
0170; Hunting, trapping and related service activities;"This class includes:  hunting and trapping on a commercial basis;taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets;production of fur skins, reptile or bird skins from hunting or trapping activities;catching of frogs and collecting of snails in the wild; This class also includes:  land-based catching of sea mammals, e.g. walruses, seals;hunting of foxes, minks and wolves to protect livestock;hunting for animal population control";"This class excludes:  raising of game animals on ranching operations, see 01.4;production of fur skins from farming reptiles, e.g. snakes and turtles or bird skins from ranching operations, see 01.48;pest control (including rabbits) in connection with agriculture, see 01.61;catching of whales, see 03.11;production of hides and skins originating from slaughterhouses, see 10.11;hunting for sport or recreation and related service activities, see 93.19;service activities to promote hunting and trapping, see 94.99"
2540; Forging and shaping metal and powder metallurgy;"This group includes general activities for the forming of metal.This class includes:  forging, pressing, stamping and roll-forming of metal;production of metal objects directly from metal powders by heat treatment (sintering) or under pressure, i.e. powder metallurgy; This class also includes:  subsequent trimming or de-scaling of the metal, without any further processing";This class excludes:  production of metal powder, see 24.1, 24.4
0891; Mining of chemical and fertiliser minerals;"This class includes:  mining of natural phosphates and natural potassium salts;mining of native sulphur;extraction and preparation of pyrites and pyrrhotite, except roasting;mining of natural barium sulphate and carbonate (barytes and witherite), natural borates, natural magnesium sulphates (kieserite);mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals; This class also includes:  guano mining;mining of medicinal mud;extraction processes to produce lithium from brine";"This class excludes:  extraction of salt, see 08.93;roasting of iron pyrites, see 20.13;manufacture of synthetic fertilisers and nitrogen compounds, see 20.15"
2562; Manufacture of locks and hinges;This class includes:  manufacture of hardware, e.g. padlocks, locks, keys, hinges for e.g. base metal mountings, fittings and similar articles for buildings, furniture, vehicles;This class excludes:  lock repair and provision of key duplication services, see 95.29
5812; Publishing of newspapers;"This class includes:  publishing of newspapersAll the feasible forms of publishing (in print, electronic, digital, analogue, or any other form) are included.; This class also includes:  advertising newspapers";"This class excludes:  production of television or video news programmes, see 59.11;news agency activities, see 60.31;activities of photojournalists, not self-publishing their own created content, see 74.20;activities of journalists whose content is published by a third party, see 90.11"
5640; Intermediation service activities for food and beverage services activities;"This class includes the intermediation of food and beverage services by bringing clients and service providers together for a fee or commission without the intermediary providing the food and beverage services intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face, telephone, post, etc.). The fee or commission can be received from either the client or the provider of the food and beverage services. Revenue for the intermediation activities can include other sources of income, e.g. revenues from sale of advertising space.; This class also includes:  reservation services for restaurants";This class excludes:  operation of online platforms to allow people to book a food delivery, see 53.30
2211; Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes;"This class includes:  manufacture of rubber tyres for vehicles, equipment, mobile machinery, aircraft, toy, furniture and other uses: pneumatic tyres;solid or cushion tyres;manufacture of inner tubes for tyres;manufacture of interchangeable tyre treads, tyre flaps, camelback strips for retreading tyres etc.;tyre rebuilding and retreading";"This class excludes:  manufacture of tube repair materials, see 22.12;tyre and tube repair, fitting or replacement, see 95.3"
2225; Processing and finishing of plastic products;"This class includes general activities for the processing and finishing of plastic products, typically carried out on a fee or contract basis:  processing of plastics, e.g. by cutting, chamfering, turning, milling, drilling, threading by computer numerical control (CNC) or other machineries;bending, gluing and welding of plastic materials;processing of plastic surfaces, e.g. by engraving, sandblasting, microblasting, polishing;coating of plastic surfaces, e.g. painting, varnishing and metallisation of plastics; This class also includes:  cladding of metal pipes with plastics;welding of plastic tanks and pipes";This class excludes:  plastic coating of metal surfaces, see 25.51
2551; Coating of metals;"This class includes:  galvanising, incl. general (batch) hot dip galvanising;phosphate or chromate conversion coating;cladding, electroplating, anodising etc. of metals;colouring of metals;non-metallic coating of metals, e.g.: powder or plastic coating, enamelling, lacquering";"This class excludes:  activities of farriers, see 01.62;printing onto metals, see 18.12;metal coating of plastics, see 22.25;cladding of base metals with a covering of silver, gold or platinum, see 24.41;heat treatment of metals, see 25.52;hardening of metals, see 25.52;painting of metals on buildings and civil engineering structures, see 43.34;'while-you-wait' engraving services, see 95.29"
0312; Freshwater fishing;"This class includes:  fishing on a commercial basis in inland waters;taking of freshwater crustaceans and molluscs;taking of freshwater aquatic animals; This class also includes:  gathering of freshwater materials;gathering of other organisms and materials: seaweed and algae";"This class excludes:  catching of frogs or collection of snails in the wild, see 01.70;collecting wild plants, e.g. reeds, sedges, see 02.30;processing of fish, crustaceans and molluscs on factory ships or in factories ashore, see 10.20;fishing inspection, protection and patrol services, see 84.24;fishing practiced for sport or recreation and related services, see 93.19;operation of sport fishing preserves, see 93.19"
2552; Heat treatment of metals;"This class includes:  general activities for the heat treatment of metals;thermomechanical heat treatment of metals, e.g. preheating, annealing, hardening, tempering, quenching, deep freezing of metal;thermochemical heat treatment of metals, e.g. carburising, carbonitriding, nitrocarburising, nitriding, oxidising, sulfidising, boriding";
0321; Marine aquaculture;"This class includes:  fish farming in sea water, including farming of marine ornamental fish;production of bivalve spat (oyster mussel etc.), lobsterlings, shrimp post-larvae, fish fry and fingerlings;growing of seaweed and algae;culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water; This class also includes:  aquaculture activities in brackish waters;land-based aquaculture activities in salt water filled tanks and reservoirs;operation of marine fish hatcheries and marine worm farms;marine microalgae cultivation";"This class excludes:  frog farming, see 03.22;operation of sport fishing preserves, see 93.19"
2553; Machining of metals;"This class includes:  boring, turning, milling, eroding, planing, lapping, broaching, levelling, sawing, grinding, sharpening, deburring, sandblasting, tumbling, polishing, buffing, welding, splicing etc. of metalwork pieces;cutting of and engraving or writing on metals by means of laser beams";This class excludes:  activities of farriers, see 01.62
0322; Freshwater aquaculture;"This class includes:  fish farming in freshwater, including farming of freshwater ornamental fish;culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals;operation of fish hatcheries (freshwater);farming of frogs;growing of seaweed and algae (edible or not); This class also includes:  freshwater microalgae cultivation";"This class excludes:  aquaculture activities in salt water filled tanks and reservoirs, see 03.21;operation of sport fishing preserves, see 93.19"
5914; Motion picture projection activities;This class includes:  activities of motion picture or audiovisual projection in cinemas, in open air or other projection venues;
1392; Manufacture of household textiles and made-up furnishing articles;"This class includes:  manufacture, of made-up household textiles articles of any material, including of knitted or crocheted fabrics e.g.: blankets, including travelling rugs;bed, table, toilet or kitchen linen;quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags;manufacture of made-up furnishing articles: curtains, valances, bedspreads;flags, banners, pennants;dust cloths, dishcloths and similar articles; This class also includes:  manufacture of the textile part of electric blankets;manufacture of hand-woven tapestries";"This class excludes:  manufacture of textile articles for technical use, see 13.96;manufacture of blinds and sun blinds, see 13.96;manufacture of napkins and napkin liners for babies, period panties and similar article of textile materials, see 17.22"
1393; Manufacture of carpets and rugs;"This class includes:  manufacture of textile floor coverings, e.g.: carpets, rugs and mats, tiles; This class also includes:  manufacture of needle-loom felt floor coverings;manufacture of artificial grass (synthetic turf)";"This class excludes:  manufacture of mats and matting of plaiting materials, see 16.28;manufacture of floor coverings of cork, see 16.28;manufacture of resilient floor coverings, e.g. vinyl, linoleum, see 22.24"
2364; Manufacture of mortars;This class includes:  manufacture of non-refractory mortars and of concrete not yet mixed with water;"This class excludes:  manufacture of refractory mortars, see 23.20;manufacture of ready-mix and concrete ready to pour, see 23.63"
1394; Manufacture of cordage, rope, twine and netting;"This class includes:  manufacture of twine, cordage, rope and cables of textile fibres or strip, etc., whether or not impregnated, coated, covered or sheathed with rubber or plastics;manufacture of knotted netting of twine, cordage or rope;manufacture of products of rope or netting e.g.. fishing nets, ships' fenders, unloading cushions, loading slings, rope or cable fitted with metal rings etc.";"This class excludes:  manufacture of hairnets, see 14.29;manufacture of wire rope, see 25.93;manufacture of landing nets for sports fishing, see 32.30"
1399; Manufacture of other textiles n.e.c.;"This class includes:  manufacture of felt;manufacture of tulles and other net fabrics, and of lace and embroidery, in the piece, in strips or in motifs;manufacture of pressure sensitive cloth-tape;manufacture of shoe-lace, of textiles;manufacture of net and window furnishing type fabrics of lace";"This class excludes:  manufacture of needle-loom felt floor coverings, see 13.93;manufacture of textile wadding and articles of wadding: sanitary towels, tampons etc., see 17.22"
5821; Publishing of video games;"This class includes:  publishing of video games for all platforms and all devices;provision of online game in-game and in-app purchases by the publisher, for all users, including subscribers; This class also includes:  intermediation service activities for video game software publishing";"This class excludes:  reproduction of video game software, see 18.20;retail sale of non-customised video game software on physical media, see 47.40;operation of video game streaming sites for viewing only, see 60.20;operation of online gaming/video game sites, not associated with publishing, see 60.39;developing of video game software, on behalf of others, see 62.10;application hosting, see 63.10;operation of gambling sites, see 92.00"
1106; Manufacture of malt;This class includes:  manufacture of malt from barley, wheat, or other grains;This class excludes:  manufacture of malt extracts and syrups, see 10.89
2313; Manufacture of hollow glass;"This class includes:  manufacture of bottles and other containers of glass or crystal;manufacture of drinking glasses, glassware for table or kitchen purposes and other domestic glass or crystal articles; This class also includes:  manufacture of glass inners for vacuum vessels;cutting or otherwise decorating drinking glasses";"This class excludes:  printing onto glass, see 18.12;manufacture of glass toys, see 32.40"
2332; Manufacture of bricks, tiles and construction products, in baked clay;"This class includes:  manufacture of structural non-refractory ceramic articles, obtained by firing clay building materials, e.g. ceramic bricks, roofing tiles, chimney pots, pipes, conduits;manufacture of flooring blocks in baked clay";"This class excludes:  manufacture of refractory ceramic products, see 23.20;manufacture of non-structural non-refractory ceramic products, see 23.4"
2341; Manufacture of ceramic household and ornamental articles;This class includes:  manufacture of ceramic tableware, kitchenware, household articles, toilet articles, statuettes and other ornamental articles of ceramics, e.g. porcelain, china, common pottery, stoneware, earthenware or fine pottery;"This class excludes:  manufacture of imitation jewellery, see 32.13;manufacture of ceramic toys, see 32.40"
1424; Manufacture of leather clothes and fur apparel;"This class includes:  manufacture of wearing apparel, including working clothes, made of leather or composition leather, e.g. coats, overcoats, jackets, trousers, aprons;manufacture of articles made of fur skins: fur wearing apparel and clothing accessories;assemblies of fur skins e.g. 'dropped' fur skins, plates, mats, strips;diverse articles of fur skins: rugs, unstuffed pouffes, industrial polishing cloths";"This class excludes:  production of raw fur skins, see 01.48, 01.70;production of raw hides and skins, see 10.11;manufacture of imitation furs (long-hair cloth obtained by weaving or knitting), see 13.20, 13.91;manufacture of synthetic leather outerwear, see 14.21;manufacture of outwear trimmed with fur, see 14.21;manufacture of fur hats, see 14.29;dressing and dyeing of fur, see 15.11;manufacture of boots or shoes containing fur parts, see 15.20;manufacture of specially designed gloves of leather or composition leather for use in sport, see 32.30"
1429; Manufacture of other wearing apparel and accessories n.e.c.;"This class includes:  manufacture of sportswear of broad woven fabrics, e.g. tracksuits, ski suits, other technical sportswear;manufacture of hats and caps;manufacture of other clothing accessories, e.g. gloves, belts, shawls, ties, cravats, hairnets; This class includes also:  manufacture of footwear of textile material without applied soles, except knitted or crocheted";"This class excludes:  manufacture of knitted or crocheted footwear without applied soles, see 14.10;manufacture of knitted and crocheted swimwear, see 14.10;manufacture of swimwear, see 14.22;manufacture of plastic headgear, see 22.26;manufacture of safety headgear, see 32.99"
5520; Holiday and other short-stay accommodation;"This class includes the provision of short-term accommodation, typically on a daily or weekly basis, in self-contained furnished rooms or areas for living/dining and sleeping. Typically, no on-the-spot customer service and minimal complementary services, if any, are provided.This class includes accommodation in e.g.:  homes and apartments for holiday;visitor flats and bungalows;cottages and cabins without housekeeping services;hostels;bed and breakfast units;guest rooms provided by private households;mountain huts and lodges";"This class excludes:  accommodation with daily cleaning and bed-making and on-the-spot customer service, see 55.10;intermediation service activities for accommodation, see 55.40"
2451; Casting of iron;"This class includes activities of iron foundries.This class includes:  manufacture of castings made of grey iron castings;manufacture of castings made of ductile iron castings (including casting of spheroidal graphite iron castings and malleable iron castings);manufacture of castings made of other special iron alloys castings";
2410; Manufacture of basic iron and steel and of ferro-alloys;"This group includes activities such as direct reduction of iron ore, production of pig iron in molten or solid form, conversion of pig iron into steel, manufacture of ferro-alloys and manufacture of steel products.This class includes:  operation of blast furnaces, steel converters, rolling and finishing mills;production of pig iron and spiegeleisen in pigs, blocks or other primary forms;production of ferro-alloys;production of ferrous products by direct reduction of iron and other spongy ferrous products;production of iron of exceptional purity by electrolysis or other chemical processes;remelting of scrap ingots of iron or steel;production of granular iron and iron powder;production of steel in ingots or other primary forms;production of semi-finished products of steel;manufacture of hot-rolled and cold-rolled flat-rolled products of steel;manufacture of hot-rolled bars and rods of steel;manufacture of hot-rolled open sections of steel;manufacture of sheet piling of steel and welded open sections of steel;manufacture of railway track materials (unassembled rails) of steel;production of blast furnace gas; This class also includes:  manufacture of coated or uncoated flat rolled steel products in coils or in straight lengths of a width more than 600 mm by cold re-rolling of hot-rolled flat products or of steel rods";This class excludes:  cold drawing of bars, see 24.31
5622; Contract catering service activities and other food service activities;"This class includes industrial catering, i.e. the food preparation and supply based on contractual arrangements with the customer, for a set term. Also included is the operation of food concessions, e.g. at sports and similar facilities. The food can be prepared directly on the premises of the client organisation or in a central unit.This class includes:  activities of food service contractors, e.g. for transportation companies;operation of canteens or cafeterias, e.g. for factories, offices, hospitals or schools, on a concession basis";"This class excludes:  manufacture of perishable food items, see 10.89;retail sale of perishable food items, see 47.2"
1410; Manufacture of knitted and crocheted apparel;"This class includes:  manufacture of hosiery, including socks, tights and pantyhose;manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape e.g. pullovers, cardigans, jerseys, shirts, T-shirts, blouses, waistcoats, nightwear, underwear, including babies’ wear;manufacture of knitted and crocheted sportswear and swimwear; This class also includes:  manufacture of medical stockings and hosiery;manufacture of footwear without applied soles, knitted or crocheted";This class excludes:  manufacture of knitted and crocheted fabrics, see 13.91
