,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31009000000
2019-08-09,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-10,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-11,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-12,1349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-13,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-14,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-15,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-16,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-17,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-18,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-19,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-20,1258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-21,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-22,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-23,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-24,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-25,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-26,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-27,1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-28,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-29,1782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-30,2288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-31,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-02,3092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-03,3018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-04,3041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-05,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-06,2549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-07,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-08,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-09,2909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-10,2455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-11,2457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12,2203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-13,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-14,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-15,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-16,2337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-17,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-18,1928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-19,1732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-20,1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-21,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-22,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-23,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-24,1887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-25,1839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-26,1884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-27,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-28,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-29,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,2586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-02,2134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-03,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-04,1827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-05,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-06,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-07,2344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-08,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-09,1884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-10,1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-11,1578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-12,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-13,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-14,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15,2477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-16,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-17,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-18,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-19,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-20,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22,1864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-23,1781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-24,1741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-25,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-26,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-27,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-28,2271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-29,2239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-30,2468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-31,2479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-02,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-03,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-04,2592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-05,2598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-06,2623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-07,2383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-08,2224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-09,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-10,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-11,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-12,2322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-13,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-14,2108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-15,1907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-16,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-17,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-18,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-19,1955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-20,1901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-21,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-22,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-23,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-24,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-25,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-26,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-27,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-28,1895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-29,1864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-30,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-02,2522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-03,2314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-04,2236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-05,2182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-06,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-07,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-08,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-09,2468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-10,2517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-11,2399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-12,2384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-13,2169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-14,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-15,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16,2858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17,2742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-18,2786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-19,2915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-20,2860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-21,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-22,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-23,2935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-24,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-25,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-26,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-27,2935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-28,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-29,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-30,6384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
