regon;nazwa;pkd_glowne;pkdn7
36182858700000;VentSerwis Andrzej Batko                             ;4791Z;8122Z
36182858700000;VentSerwis Andrzej Batko                             ;4791Z;4334Z
36182858700000;VentSerwis Andrzej Batko                             ;4791Z;4339Z
36182858700000;VentSerwis Andrzej Batko                             ;4791Z;4399Z
36182858700000;VentSerwis Andrzej Batko                             ;4791Z;4791Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4623Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4624Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4631Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4632Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4633Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4634A
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4616Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4617Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4618Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5590Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5610A
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5610B
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4677Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4690Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5229B
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5229C
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5310Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5320Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4671Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4672Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4673Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4674Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4675Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4676Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4662Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4663Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4761Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4726Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4729Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4730Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4741Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4742Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4743Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4615Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5229A
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4511Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4519Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4520Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4531Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4532Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5222A
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5222B
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5223Z
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5224A
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5224B
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;5224C
36182874200000;VARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ         ;4531Z;4649Z
