nazwa_2025;rodzaj
Produkcja gier i zabawek;NACE Rev. 2 class  32.40 is mapped to NACE Rev. 2.1 class  32.40
Produkcja mioteł, szczotek i pędzli;NACE Rev. 2 class  32.91 is mapped to NACE Rev. 2.1 class  32.91
Naprawa i konserwacja urządzeń elektronicznych i optycznych;NACE Rev. 2 class  33.13 is mapped to NACE Rev. 2.1 class  33.13
Naprawa i konserwacja urządzeń elektrycznych;NACE Rev. 2 class  33.14 is mapped to NACE Rev. 2.1 class  33.14
Naprawa i konserwacja pozostałego cywilnego sprzętu transportowego;NACE Rev. 2 class  33.17 is mapped to NACE Rev. 2.1 class  33.17
Instalowanie maszyn przemysłowych, sprzętu i wyposażenia;NACE Rev. 2 class  33.20 is mapped to NACE Rev. 2.1 class  33.20
Przesyłanie energii elektrycznej;NACE Rev. 2 class  35.12 is mapped to NACE Rev. 2.1 class  35.13
Dystrybucja energii elektrycznej;NACE Rev. 2 class  35.13 is mapped to NACE Rev. 2.1 class  35.14
Wytwarzanie paliw gazowych;NACE Rev. 2 class  35.21 is mapped to NACE Rev. 2.1 class  35.21
Dystrybucja paliw gazowych w systemie sieciowym;NACE Rev. 2 class  35.22 is mapped to NACE Rev. 2.1 class  35.22
Wytwarzanie i zaopatrywanie w parę wodną i powietrze do układów klimatyzacyjnych;NACE Rev. 2 class  35.30 is mapped to NACE Rev. 2.1 class  35.30
Pobór, uzdatnianie i dostarczanie wody;NACE Rev. 2 class  36.00 is mapped to NACE Rev. 2.1 class  36.00
Odprowadzanie i oczyszczanie ścieków;NACE Rev. 2 class  37.00 is mapped to NACE Rev. 2.1 class  37.00
Zbieranie odpadów innych niż niebezpieczne;NACE Rev. 2 class  38.11 is mapped to NACE Rev. 2.1 class  38.11
Zbieranie odpadów niebezpiecznych;NACE Rev. 2 class  38.12 is mapped to NACE Rev. 2.1 class  38.12
Odzysk surowców;NACE Rev. 2 class  38.31 is mapped to NACE Rev. 2.1 class  38.21
Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami;NACE Rev. 2 class  39.00 is mapped to NACE Rev. 2.1 class  39.00
Realizacja projektów budowlanych;NACE Rev. 2 class  41.10 is mapped to NACE Rev. 2.1 class  68.12
Roboty związane z budową dróg szynowych i kolei podziemnej;NACE Rev. 2 class  42.12 is mapped to NACE Rev. 2.1 class  42.12
Roboty związane z budową mostów i tuneli;NACE Rev. 2 class  42.13 is mapped to NACE Rev. 2.1 class  42.13
Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych;NACE Rev. 2 class  42.21 is mapped to NACE Rev. 2.1 class  42.21
Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych;NACE Rev. 2 class  42.22 is mapped to NACE Rev. 2.1 class  42.22
Roboty związane z budową obiektów inżynierii wodnej;NACE Rev. 2 class  42.91 is mapped to NACE Rev. 2.1 class  42.91
Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane;NACE Rev. 2 class  42.99 is mapped to NACE Rev. 2.1 class  42.99
Rozbiórka i burzenie obiektów budowlanych;NACE Rev. 2 class  43.11 is mapped to NACE Rev. 2.1 class  43.11
Wykonywanie wykopów i wierceń geologiczno-inżynierskich;NACE Rev. 2 class  43.13 is mapped to NACE Rev. 2.1 class  43.13
Wykonywanie instalacji elektrycznych;NACE Rev. 2 class  43.21 is mapped to NACE Rev. 2.1 class  43.21
Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych i klimatyzacyjnych;NACE Rev. 2 class  43.22 is mapped to NACE Rev. 2.1 class  43.22
Tynkowanie;NACE Rev. 2 class  43.31 is mapped to NACE Rev. 2.1 class  43.31
Zakładanie stolarki budowlanej;NACE Rev. 2 class  43.32 is mapped to NACE Rev. 2.1 class  43.32
"Posadzkarstwo; tapetowanie i oblicowywanie ścian";NACE Rev. 2 class  43.33 is mapped to NACE Rev. 2.1 class  43.33
Malowanie i szklenie;NACE Rev. 2 class  43.34 is mapped to NACE Rev. 2.1 class  43.34
Wykonywanie konstrukcji i pokryć dachowych;NACE Rev. 2 class  43.91 is mapped to NACE Rev. 2.1 class  43.41
Sprzedaż detaliczna części i akcesoriów do pojazdów silnikowych z wyłączeniem motocykli;NACE Rev. 2 class  45.32 is mapped to NACE Rev. 2.1 class  47.82
Działalność agentów zajmujących się sprzedażą hurtową płodów rolnych, żywych zwierząt, surowców dla przemysłu tekstylnego i półproduktów;NACE Rev. 2 class  46.11 is mapped to NACE Rev. 2.1 class  46.11
Działalność agentów zajmujących się sprzedażą hurtową paliw, rud, metali i chemikaliów przemysłowych;NACE Rev. 2 class  46.12 is mapped to NACE Rev. 2.1 class  46.12
Działalność agentów zajmujących się sprzedażą hurtową drewna i materiałów budowlanych;NACE Rev. 2 class  46.13 is mapped to NACE Rev. 2.1 class  46.13
Działalność agentów zajmujących się sprzedażą hurtową maszyn, urządzeń przemysłowych, statków i samolotów;NACE Rev. 2 class  46.14 is mapped to NACE Rev. 2.1 class  46.14
Działalność agentów zajmujących się sprzedażą hurtową mebli, artykułów gospodarstwa domowego i drobnych wyrobów metalowych;NACE Rev. 2 class  46.15 is mapped to NACE Rev. 2.1 class  46.15
Działalność agentów zajmujących się sprzedażą hurtową wyrobów tekstylnych, odzieży, wyrobów futrzarskich, obuwia i artykułów skórzanych;NACE Rev. 2 class  46.16 is mapped to NACE Rev. 2.1 class  46.16
Działalność agentów zajmujących się sprzedażą hurtową żywności, napojów i wyrobów tytoniowych;NACE Rev. 2 class  46.17 is mapped to NACE Rev. 2.1 class  46.17
Działalność agentów zajmujących się sprzedażą hurtową pozostałych określonych towarów;NACE Rev. 2 class  46.18 is mapped to NACE Rev. 2.1 class  46.18
Działalność agentów zajmujących się sprzedażą hurtową niewyspecjalizowaną;NACE Rev. 2 class  46.19 is mapped to NACE Rev. 2.1 class  46.19
Sprzedaż hurtowa zboża, nieprzetworzonego tytoniu, nasion i pasz dla zwierząt;NACE Rev. 2 class  46.21 is mapped to NACE Rev. 2.1 class  46.21
Sprzedaż hurtowa kwiatów i roślin;NACE Rev. 2 class  46.22 is mapped to NACE Rev. 2.1 class  46.22
Sprzedaż hurtowa żywych zwierząt;NACE Rev. 2 class  46.23 is mapped to NACE Rev. 2.1 class  46.23
Sprzedaż hurtowa skór;NACE Rev. 2 class  46.24 is mapped to NACE Rev. 2.1 class  46.24
Sprzedaż hurtowa owoców i warzyw;NACE Rev. 2 class  46.31 is mapped to NACE Rev. 2.1 class  46.31
Sprzedaż hurtowa mięsa i wyrobów z mięsa oraz ryb i wyrobów z ryb;NACE Rev. 2 class  46.32 is mapped to NACE Rev. 2.1 class  46.32
Sprzedaż hurtowa mleka, wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych;NACE Rev. 2 class  46.33 is mapped to NACE Rev. 2.1 class  46.33
Sprzedaż hurtowa napojów alkoholowych i bezalkoholowych;NACE Rev. 2 class  46.34 is mapped to NACE Rev. 2.1 class  46.34
Sprzedaż hurtowa wyrobów tytoniowych;NACE Rev. 2 class  46.35 is mapped to NACE Rev. 2.1 class  46.35
Sprzedaż hurtowa cukru, czekolady i wyrobów cukierniczych;NACE Rev. 2 class  46.36 is mapped to NACE Rev. 2.1 class  46.36
Sprzedaż hurtowa herbaty, kawy, kakao i przypraw;NACE Rev. 2 class  46.37 is mapped to NACE Rev. 2.1 class  46.37
Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych;NACE Rev. 2 class  46.39 is mapped to NACE Rev. 2.1 class  46.39
Sprzedaż hurtowa wyrobów tekstylnych;NACE Rev. 2 class  46.41 is mapped to NACE Rev. 2.1 class  46.41
Sprzedaż hurtowa odzieży i obuwia;NACE Rev. 2 class  46.42 is mapped to NACE Rev. 2.1 class  46.42
Sprzedaż hurtowa wyrobów porcelanowych, ceramicznych i szklanych oraz środków czyszczących;NACE Rev. 2 class  46.44 is mapped to NACE Rev. 2.1 class  46.44
Sprzedaż hurtowa perfum i kosmetyków;NACE Rev. 2 class  46.45 is mapped to NACE Rev. 2.1 class  46.45
Sprzedaż hurtowa wyrobów farmaceutycznych i medycznych;NACE Rev. 2 class  46.46 is mapped to NACE Rev. 2.1 class  46.46
Sprzedaż hurtowa mebli do użytku domowego, biurowego i sklepowego, dywanów i sprzętu oświetleniowego;NACE Rev. 2 class  46.47 is mapped to NACE Rev. 2.1 class  46.47
Sprzedaż hurtowa zegarków i biżuterii;NACE Rev. 2 class  46.48 is mapped to NACE Rev. 2.1 class  46.48
Sprzedaż hurtowa pozostałych artykułów użytku domowego;NACE Rev. 2 class  46.49 is mapped to NACE Rev. 2.1 class  46.49
Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej;NACE Rev. 2 class  46.51 is mapped to NACE Rev. 2.1 class  46.50
Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej;NACE Rev. 2 class  46.52 is mapped to NACE Rev. 2.1 class  46.50
Sprzedaż hurtowa maszyn i urządzeń rolniczych oraz dodatkowego wyposażenia;NACE Rev. 2 class  46.61 is mapped to NACE Rev. 2.1 class  46.61
Sprzedaż hurtowa obrabiarek;NACE Rev. 2 class  46.62 is mapped to NACE Rev. 2.1 class  46.62
Sprzedaż hurtowa maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej;NACE Rev. 2 class  46.63 is mapped to NACE Rev. 2.1 class  46.63
Sprzedaż hurtowa pozostałych maszyn i urządzeń;NACE Rev. 2 class  46.64 is mapped to NACE Rev. 2.1 class  46.64
Sprzedaż hurtowa mebli do użytku domowego, biurowego i sklepowego, dywanów i sprzętu oświetleniowego;NACE Rev. 2 class  46.65 is mapped to NACE Rev. 2.1 class  46.47
Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej;NACE Rev. 2 class  46.66 is mapped to NACE Rev. 2.1 class  46.50
Sprzedaż hurtowa pozostałych maszyn i urządzeń;NACE Rev. 2 class  46.69 is mapped to NACE Rev. 2.1 class  46.64
Sprzedaż hurtowa paliw stałych, ciekłych, gazowych oraz produktów pochodnych;NACE Rev. 2 class  46.71 is mapped to NACE Rev. 2.1 class  46.81
Sprzedaż hurtowa metali i rud metali;NACE Rev. 2 class  46.72 is mapped to NACE Rev. 2.1 class  46.82
Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego;NACE Rev. 2 class  46.73 is mapped to NACE Rev. 2.1 class  46.83
Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego;NACE Rev. 2 class  46.74 is mapped to NACE Rev. 2.1 class  46.84
Sprzedaż hurtowa wyrobów chemicznych;NACE Rev. 2 class  46.75 is mapped to NACE Rev. 2.1 class  46.85
Sprzedaż hurtowa pozostałych półproduktów;NACE Rev. 2 class  46.76 is mapped to NACE Rev. 2.1 class  46.86
Sprzedaż hurtowa odpadów i złomu;NACE Rev. 2 class  46.77 is mapped to NACE Rev. 2.1 class  46.87
Sprzedaż hurtowa niewyspecjalizowana;NACE Rev. 2 class  46.90 is mapped to NACE Rev. 2.1 class  46.90
Sprzedaż detaliczna owoców i warzyw;NACE Rev. 2 class  47.21 is mapped to NACE Rev. 2.1 class  47.21
Sprzedaż detaliczna mięsa i wyrobów z mięsa;NACE Rev. 2 class  47.22 is mapped to NACE Rev. 2.1 class  47.22
Sprzedaż detaliczna ryb, skorupiaków i mięczaków;NACE Rev. 2 class  47.23 is mapped to NACE Rev. 2.1 class  47.23
Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych;NACE Rev. 2 class  47.24 is mapped to NACE Rev. 2.1 class  47.24
Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych;NACE Rev. 2 class  47.25 is mapped to NACE Rev. 2.1 class  47.25
Sprzedaż detaliczna wyrobów tytoniowych;NACE Rev. 2 class  47.26 is mapped to NACE Rev. 2.1 class  47.26
Sprzedaż detaliczna pozostałej żywności;NACE Rev. 2 class  47.29 is mapped to NACE Rev. 2.1 class  47.27
Sprzedaż detaliczna paliw do pojazdów silnikowych;NACE Rev. 2 class  47.30 is mapped to NACE Rev. 2.1 class  47.30
Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej;NACE Rev. 2 class  47.41 is mapped to NACE Rev. 2.1 class  47.40
Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej;NACE Rev. 2 class  47.42 is mapped to NACE Rev. 2.1 class  47.40
Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej;NACE Rev. 2 class  47.43 is mapped to NACE Rev. 2.1 class  47.40
Sprzedaż detaliczna wyrobów tekstylnych;NACE Rev. 2 class  47.51 is mapped to NACE Rev. 2.1 class  47.51
Sprzedaż detaliczna drobnych wyrobów metalowych, materiałów budowlanych, farb i szkła;NACE Rev. 2 class  47.52 is mapped to NACE Rev. 2.1 class  47.52
Sprzedaż detaliczna dywanów, chodników i innych pokryć podłogowych oraz pokryć ściennych;NACE Rev. 2 class  47.53 is mapped to NACE Rev. 2.1 class  47.53
Sprzedaż detaliczna elektrycznego sprzętu gospodarstwa domowego;NACE Rev. 2 class  47.54 is mapped to NACE Rev. 2.1 class  47.54
Sprzedaż detaliczna książek;NACE Rev. 2 class  47.61 is mapped to NACE Rev. 2.1 class  47.61
Sprzedaż detaliczna gazet i pozostałych periodyków oraz artykułów papierniczych;NACE Rev. 2 class  47.62 is mapped to NACE Rev. 2.1 class  47.62
Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  47.63 is mapped to NACE Rev. 2.1 class  47.69
Sprzedaż detaliczna sprzętu sportowego;NACE Rev. 2 class  47.64 is mapped to NACE Rev. 2.1 class  47.63
Sprzedaż detaliczna gier i zabawek;NACE Rev. 2 class  47.65 is mapped to NACE Rev. 2.1 class  47.64
Sprzedaż detaliczna odzieży;NACE Rev. 2 class  47.71 is mapped to NACE Rev. 2.1 class  47.71
Sprzedaż detaliczna obuwia i wyrobów skórzanych;NACE Rev. 2 class  47.72 is mapped to NACE Rev. 2.1 class  47.72
Sprzedaż detaliczna wyrobów farmaceutycznych;NACE Rev. 2 class  47.73 is mapped to NACE Rev. 2.1 class  47.73
Sprzedaż detaliczna wyrobów medycznych i ortopedycznych;NACE Rev. 2 class  47.74 is mapped to NACE Rev. 2.1 class  47.74
Sprzedaż detaliczna kosmetyków i artykułów toaletowych;NACE Rev. 2 class  47.75 is mapped to NACE Rev. 2.1 class  47.75
Sprzedaż detaliczna kwiatów, roślin, nawozów, żywych zwierząt domowych i karmy dla zwierząt domowych;NACE Rev. 2 class  47.76 is mapped to NACE Rev. 2.1 class  47.76
Sprzedaż detaliczna zegarków i biżuterii;NACE Rev. 2 class  47.77 is mapped to NACE Rev. 2.1 class  47.77
Transport kolejowy towarów;NACE Rev. 2 class  49.20 is mapped to NACE Rev. 2.1 class  49.20
Działalność usługowa związana z przeprowadzkami;NACE Rev. 2 class  49.42 is mapped to NACE Rev. 2.1 class  49.42
Transport rurociągowy;NACE Rev. 2 class  49.50 is mapped to NACE Rev. 2.1 class  49.50
Transport morski i przybrzeżny pasażerski;NACE Rev. 2 class  50.10 is mapped to NACE Rev. 2.1 class  50.10
Transport morski i przybrzeżny towarów;NACE Rev. 2 class  50.20 is mapped to NACE Rev. 2.1 class  50.20
Transport wodny śródlądowy pasażerski;NACE Rev. 2 class  50.30 is mapped to NACE Rev. 2.1 class  50.30
Transport wodny śródlądowy towarów;NACE Rev. 2 class  50.40 is mapped to NACE Rev. 2.1 class  50.40
Transport lotniczy pasażerski;NACE Rev. 2 class  51.10 is mapped to NACE Rev. 2.1 class  51.10
Transport lotniczy towarów;NACE Rev. 2 class  51.21 is mapped to NACE Rev. 2.1 class  51.21
Transport kosmiczny;NACE Rev. 2 class  51.22 is mapped to NACE Rev. 2.1 class  51.22
Działalność usługowa wspomagająca transport lądowy;NACE Rev. 2 class  52.21 is mapped to NACE Rev. 2.1 class  52.21
Działalność usługowa wspomagająca transport wodny;NACE Rev. 2 class  52.22 is mapped to NACE Rev. 2.1 class  52.22
Działalność usługowa wspomagająca transport lotniczy;NACE Rev. 2 class  52.23 is mapped to NACE Rev. 2.1 class  52.23
Przeładunek towarów;NACE Rev. 2 class  52.24 is mapped to NACE Rev. 2.1 class  52.24
Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego);NACE Rev. 2 class  53.10 is mapped to NACE Rev. 2.1 class  53.10
Pozostała działalność pocztowa i kurierska;NACE Rev. 2 class  53.20 is mapped to NACE Rev. 2.1 class  53.20
Hotele i podobne obiekty zakwaterowania;NACE Rev. 2 class  55.10 is mapped to NACE Rev. 2.1 class  55.10
Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania;NACE Rev. 2 class  55.20 is mapped to NACE Rev. 2.1 class  55.20
Pola kempingowe, włączając pola dla pojazdów kempingowych i pola namiotowe;NACE Rev. 2 class  55.30 is mapped to NACE Rev. 2.1 class  55.30
Pozostałe zakwaterowanie;NACE Rev. 2 class  55.90 is mapped to NACE Rev. 2.1 class  55.90
Okazjonalne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering okazjonalny);NACE Rev. 2 class  56.21 is mapped to NACE Rev. 2.1 class  56.21
Regularne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering regularny) i pozostała gastronomiczna działalność usługowa;NACE Rev. 2 class  56.29 is mapped to NACE Rev. 2.1 class  56.22
Podawanie napojów;NACE Rev. 2 class  56.30 is mapped to NACE Rev. 2.1 class  56.30
Wydawanie książek;NACE Rev. 2 class  58.11 is mapped to NACE Rev. 2.1 class  58.11
Pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania;NACE Rev. 2 class  58.12 is mapped to NACE Rev. 2.1 class  58.19
Wydawanie gazet;NACE Rev. 2 class  58.13 is mapped to NACE Rev. 2.1 class  58.12
Wydawanie czasopism i pozostałych periodyków;NACE Rev. 2 class  58.14 is mapped to NACE Rev. 2.1 class  58.13
Działalność wydawnicza w zakresie gier komputerowych;NACE Rev. 2 class  58.21 is mapped to NACE Rev. 2.1 class  58.21
Działalność wydawnicza w zakresie pozostałego oprogramowania;NACE Rev. 2 class  58.29 is mapped to NACE Rev. 2.1 class  58.29
Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi;NACE Rev. 2 class  59.12 is mapped to NACE Rev. 2.1 class  59.12
Działalność związana z dystrybucją filmów i nagrań wideo;NACE Rev. 2 class  59.13 is mapped to NACE Rev. 2.1 class  59.13
Działalność związana z projekcją filmów;NACE Rev. 2 class  59.14 is mapped to NACE Rev. 2.1 class  59.14
Działalność w zakresie nagrań dźwiękowych i muzycznych;NACE Rev. 2 class  59.20 is mapped to NACE Rev. 2.1 class  59.20
Nadawanie programów radiofonicznych i dystrybucja nagrań dźwiękowych;NACE Rev. 2 class  60.10 is mapped to NACE Rev. 2.1 class  60.10
Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo;NACE Rev. 2 class  60.20 is mapped to NACE Rev. 2.1 class  60.20
Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej;NACE Rev. 2 class  61.10 is mapped to NACE Rev. 2.1 class  61.10
Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej;NACE Rev. 2 class  61.30 is mapped to NACE Rev. 2.1 class  61.10
Działalność w zakresie programowania;NACE Rev. 2 class  62.01 is mapped to NACE Rev. 2.1 class  62.10
Działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi;NACE Rev. 2 class  62.02 is mapped to NACE Rev. 2.1 class  62.20
Działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi;NACE Rev. 2 class  62.03 is mapped to NACE Rev. 2.1 class  62.20
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych;NACE Rev. 2 class  62.09 is mapped to NACE Rev. 2.1 class  62.90
Działalność agencji informacyjnych;NACE Rev. 2 class  63.91 is mapped to NACE Rev. 2.1 class  60.31
Pozostała działalność usługowa w zakresie informacji;NACE Rev. 2 class  63.99 is mapped to NACE Rev. 2.1 class  63.92
Działalność banku centralnego;NACE Rev. 2 class  64.11 is mapped to NACE Rev. 2.1 class  64.11
Pozostałe pośrednictwo pieniężne;NACE Rev. 2 class  64.19 is mapped to NACE Rev. 2.1 class  64.19
Leasing finansowy;NACE Rev. 2 class  64.91 is mapped to NACE Rev. 2.1 class  64.91
Pozostałe formy udzielania kredytów;NACE Rev. 2 class  64.92 is mapped to NACE Rev. 2.1 class  64.92
Ubezpieczenia na życie;NACE Rev. 2 class  65.11 is mapped to NACE Rev. 2.1 class  65.11
Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe;NACE Rev. 2 class  65.12 is mapped to NACE Rev. 2.1 class  65.12
Reasekuracja;NACE Rev. 2 class  65.20 is mapped to NACE Rev. 2.1 class  65.20
Fundusze emerytalne;NACE Rev. 2 class  65.30 is mapped to NACE Rev. 2.1 class  65.30
Zarządzanie rynkami finansowymi;NACE Rev. 2 class  66.11 is mapped to NACE Rev. 2.1 class  66.11
Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych;NACE Rev. 2 class  66.12 is mapped to NACE Rev. 2.1 class  66.12
Działalność związana z oceną ryzyka i szacowaniem poniesionych strat;NACE Rev. 2 class  66.21 is mapped to NACE Rev. 2.1 class  66.21
Działalność agentów i brokerów ubezpieczeniowych;NACE Rev. 2 class  66.22 is mapped to NACE Rev. 2.1 class  66.22
Działalność wspomagająca ubezpieczenia i fundusze emerytalne, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  66.29 is mapped to NACE Rev. 2.1 class  66.29
Działalność związana z zarządzaniem funduszami;NACE Rev. 2 class  66.30 is mapped to NACE Rev. 2.1 class  66.30
Kupno i sprzedaż nieruchomości na własny rachunek;NACE Rev. 2 class  68.10 is mapped to NACE Rev. 2.1 class  68.11
Pozostała działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie;NACE Rev. 2 class  68.32 is mapped to NACE Rev. 2.1 class  68.32
Działalność prawnicza;NACE Rev. 2 class  69.10 is mapped to NACE Rev. 2.1 class  69.10
"Działalność rachunkowo-księgowa; doradztwo podatkowe";NACE Rev. 2 class  69.20 is mapped to NACE Rev. 2.1 class  69.20
Działalność central (head offices);NACE Rev. 2 class  70.10 is mapped to NACE Rev. 2.1 class  70.10
Działalność w zakresie public relations i komunikacji;NACE Rev. 2 class  70.21 is mapped to NACE Rev. 2.1 class  73.30
Doradztwo w zakresie prowadzenia działalności gospodarczej i pozostałe doradztwo w zakresie zarządzania;NACE Rev. 2 class  70.22 is mapped to NACE Rev. 2.1 class  70.20
Działalność w zakresie architektury;NACE Rev. 2 class  71.11 is mapped to NACE Rev. 2.1 class  71.11
Działalność w zakresie inżynierii i związane z nią doradztwo techniczne;NACE Rev. 2 class  71.12 is mapped to NACE Rev. 2.1 class  71.12
Badania i analizy techniczne;NACE Rev. 2 class  71.20 is mapped to NACE Rev. 2.1 class  71.20
Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych;NACE Rev. 2 class  72.11 is mapped to NACE Rev. 2.1 class  72.10
Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych;NACE Rev. 2 class  72.19 is mapped to NACE Rev. 2.1 class  72.10
Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych;NACE Rev. 2 class  72.20 is mapped to NACE Rev. 2.1 class  72.20
Działalność agencji reklamowych;NACE Rev. 2 class  73.11 is mapped to NACE Rev. 2.1 class  73.11
Reklama poprzez środki masowego przekazu;NACE Rev. 2 class  73.12 is mapped to NACE Rev. 2.1 class  73.12
Badanie rynku i opinii publicznej;NACE Rev. 2 class  73.20 is mapped to NACE Rev. 2.1 class  73.20
Działalność związana z tłumaczeniami;NACE Rev. 2 class  74.30 is mapped to NACE Rev. 2.1 class  74.30
Działalność weterynaryjna;NACE Rev. 2 class  75.00 is mapped to NACE Rev. 2.1 class  75.00
Wynajem i dzierżawa samochodów osobowych i lekkich pojazdów silnikowych;NACE Rev. 2 class  77.11 is mapped to NACE Rev. 2.1 class  77.11
Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego;NACE Rev. 2 class  77.21 is mapped to NACE Rev. 2.1 class  77.21
Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego;NACE Rev. 2 class  77.22 is mapped to NACE Rev. 2.1 class  77.22
Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego;NACE Rev. 2 class  77.29 is mapped to NACE Rev. 2.1 class  77.22
Wynajem i dzierżawa maszyn i urządzeń rolniczych;NACE Rev. 2 class  77.31 is mapped to NACE Rev. 2.1 class  77.31
Wynajem i dzierżawa maszyn i urządzeń budowlanych;NACE Rev. 2 class  77.32 is mapped to NACE Rev. 2.1 class  77.32
Wynajem i dzierżawa maszyn i urządzeń biurowych oraz komputerów;NACE Rev. 2 class  77.33 is mapped to NACE Rev. 2.1 class  77.33
Wynajem i dzierżawa środków transportu wodnego;NACE Rev. 2 class  77.34 is mapped to NACE Rev. 2.1 class  77.34
Wynajem i dzierżawa środków transportu lotniczego;NACE Rev. 2 class  77.35 is mapped to NACE Rev. 2.1 class  77.35
Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim;NACE Rev. 2 class  77.40 is mapped to NACE Rev. 2.1 class  77.40
Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników;NACE Rev. 2 class  78.10 is mapped to NACE Rev. 2.1 class  78.10
Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników;NACE Rev. 2 class  78.20 is mapped to NACE Rev. 2.1 class  78.20
Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników;NACE Rev. 2 class  78.30 is mapped to NACE Rev. 2.1 class  78.20
Działalność organizatorów turystyki;NACE Rev. 2 class  79.12 is mapped to NACE Rev. 2.1 class  79.12
Działalność detektywistyczna i działalność ochroniarska w zakresie ochrony osobistej;NACE Rev. 2 class  80.10 is mapped to NACE Rev. 2.1 class  80.01
Działalność ochroniarska gdzie indziej niesklasyfikowana;NACE Rev. 2 class  80.20 is mapped to NACE Rev. 2.1 class  80.09
Działalność detektywistyczna i działalność ochroniarska w zakresie ochrony osobistej;NACE Rev. 2 class  80.30 is mapped to NACE Rev. 2.1 class  80.01
Działalność pomocnicza związana z utrzymaniem porządku w budynkach;NACE Rev. 2 class  81.10 is mapped to NACE Rev. 2.1 class  81.10
Pozostałe sprzątanie budynków i obiektów przemysłowych;NACE Rev. 2 class  81.22 is mapped to NACE Rev. 2.1 class  81.22
Pozostałe sprzątanie;NACE Rev. 2 class  81.29 is mapped to NACE Rev. 2.1 class  81.23
Działalność usługowa związana z zagospodarowaniem terenów zieleni;NACE Rev. 2 class  81.30 is mapped to NACE Rev. 2.1 class  81.30
Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą;NACE Rev. 2 class  82.11 is mapped to NACE Rev. 2.1 class  82.10
Działalność centrów telefonicznych (call center);NACE Rev. 2 class  82.20 is mapped to NACE Rev. 2.1 class  82.20
Działalność świadczona przez agencje inkasa i biura kredytowe;NACE Rev. 2 class  82.91 is mapped to NACE Rev. 2.1 class  82.91
Działalność związana z pakowaniem;NACE Rev. 2 class  82.92 is mapped to NACE Rev. 2.1 class  82.92
Kierowanie podstawowymi rodzajami działalności publicznej;NACE Rev. 2 class  84.11 is mapped to NACE Rev. 2.1 class  84.11
