regon;nazwa;pkd_glowne;pkdn7
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6810Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5829Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6110Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6120Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6130Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6190Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6201Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5520Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5590Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5812Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5814Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5819Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5821Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4789Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4791Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4799Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4941Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5221Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;5510Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4765Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4771Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4776Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4778Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4779Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4782Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4743Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4753Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4754Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4759Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4762Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4763Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4519Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4520Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4532Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4540Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4642Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4719Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;1723Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;1812Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;1813Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;1814Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;3312Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;4511Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;1330Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;9329A
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;9329B
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;8220Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;9002Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;9511Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;9512Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;9529Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;9609Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;7312C
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;7312D
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;7430Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;7733Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;8211Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;8219Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6820Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6831Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6832Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;7311Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;7312A
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;7312B
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6202Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6203Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6209Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6311Z
36834885000000;BAMA Bartosz Marchewka                               ;4511Z;6312Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;3312Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;4321Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;4322Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;4329Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;4334Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;4339Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;4511Z
36835008300000;JAKUB AJRYŚ - wspólnik spółki cywilnej MOTO REMO KING SPÓŁKA CYWILNA JAKUB AJRYŚ GRZEGORZ CHABIOR                       ;4520Z;4520Z
36835010800000;O.B.R. DZIK Serwis Adam Toman                        ;4520Z;4520Z
36835048500000;"CENTRUM HANDLOWE ""CHROBRY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                      ";4711Z;4711Z
36835048500000;"CENTRUM HANDLOWE ""CHROBRY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                      ";4711Z;4725Z
36835048500000;"CENTRUM HANDLOWE ""CHROBRY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                      ";4711Z;4726Z
36835048500000;"CENTRUM HANDLOWE ""CHROBRY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                      ";4711Z;4754Z
36835048500000;"CENTRUM HANDLOWE ""CHROBRY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ                                                      ";4711Z;4791Z
